Unnamed: 0,MNI,MNI.1,MNI.2,Harvard-Oxford Label,MNI.3,MNI.4,MNI.5,Harvard-Oxford Label.1
Social: positive,−10,48,−22,L Frontal Pole (45%),44,16,46,R Middle Frontal Gyrus (60%)
Social: positive,28,−74,−12,R Occipital Fusiform Gyrus (67%),12,−36,52,R Postcentral Gyrus (34%)
Social: positive,4,24,−22,R Subcallosal Cortex (59%),44,16,46,R Middle Frontal Gyrus (60%)
Social: negative,−56,−38,16,L Juxtapositional Lobule Cortex (70%),44,16,46,R Middle Frontal Gyrus (60%)
Social: negative,−4,−8,60,L Planum Temporale (48%),44,16,46,R Middle Frontal Gyrus (60%)
Social: negative,−4,−38,36,L Cingulate Gyrus posterior division (81%),36,−78,26,R Lateral Occipita (53%)
Social: negative,64,−34,22,L Supramarginal Gyrus posterior division (22%),44,16,46,R Middle Frontal Gyrus (60%)
Social: negative,6,0,64,R Juxtapositional Lobule Cortex (58%),44,16,46,R Middle Frontal Gyrus (60%)
Communication: positive,−18,−64,6,L Intracalcarine Cortex (48%),−42,8,48,L Middle Frontal Gyrus (53%)
Communication: positive,−44,−30,18,L Parietal Operculum Cortex (67%),36,0,−44,R Temporal Fusiform Cortex (44%)
Communication: positive,−22,−12,68,L Precentral Gyrus (31%),4,20,54,R Superior Frontal Gyrus (62%)
Communication: positive,−42,8,48,L Middle Frontal Gyrus (53%),8,−74,8,R Intracalcarine Cortex (62%)
Communication: negative,18,−98,14,R Occipital Pole (60%),50,32,−4,R Inferior Frontal Gyrus (30%)
Communication: negative,12,−72,26,R Cuneal Cortex (43%),14,−70,38,R Precuneous Cortex (35%)
RRBI: positive,−6,−78,8,L Intracalcarine Cortex (64%),−44,−20,54,L Postcentral Gyrus (37%)
RRBI: positive,−44,−20,54,L Postcentral Gyrus (37%),8,−74,8,R Intracalcarine Cortex (62%)
RRBI: positive,−44,−20,54,L Postcentral Gyrus (37%),22,−60,6,R Intracalcarine Cortex (35%)
RRBI: positive,−34,−48,46,L Superior Parietal (38%),40,4,−12,R Insular Cortex (59%)
RRBI: positive,−52,0,6,L Central Opercular (63%),52,−12,50,R Postcentral Gyrus (52%)
RRBI: positive,−22,32,42,L Superior Frontal (44%),14,24,60,R Superior Frontal (61%)
RRBI: positive,52,−12,50,R Postcentral Gyrus (52%),50,6,4,R Central Opercular (37%)
RRBI: positive,50,6,4,R Central Opercular Cortex (37%),52,−12,50,R Postcentral Gyrus (52%)
RRBI: negative,−50,−8,42,L Precentral Gyrus (44%),−46,−66,40,L Lateral Occipital Cortex (70%)
RRBI: negative,−50,−8,42,L Precentral Gyrus (44%),−4,−38,36,L Cingulate Gyrus (81%)
RRBI: negative,−50,−8,42,L Precentral Gyrus (44%),46,−64,42,R Lateral Occipital Cortex (62%)
RRBI: negative,−50,−16,44,L Postcentral Gyrus (46%),−46,−60,24,L Angular Gyrus (50%)
RRBI: negative,−50,−16,44,L Postcentral Gyrus (46%),−46,−66,40,L Lateral Occipital Cortex (70%)
RRBI: negative,−48,−28,56,L Postcentral Gyrus (55%),−46,−66,40,L Lateral Occipital Cortex (70%)
RRBI: negative,−44,−20,54,L Postcentral Gyrus (37%),−46,−66,40,L Lateral Occipital Cortex (70%)
RRBI: negative,−8,−42,66,L Postcentral Gyrus (47%),−54,−54,12,L Middle Temporal Gyrus (33%)
RRBI: negative,−52,0,6,L Central Opercular Cortex (63%),6,−38,36,R Cingulate Gyrus (70%)
RRBI: negative,34,−34,62,R Postcentral Gyrus (44%),6,−38,36,R Cingulate Gyrus (70%)
