References,Analysis methods,Functional connectivity findings,Clinical correlate and prediction findings
McNabb et al. (???),ICA,CLZ-eligible>NTRS: within the SMN (precuneus),–
McNabb et al. (???),"Graph theory (116 region AAL atlas, custom-made atlas of 272 regions from the Human Brainnetome [Desikan-Killiany atlas] and the probabilistic MR atlas of the human cerebellum)","UTRS<HC: in three sub-networks (cerebellar-frontal, cingulo-frontal-temporal, frontoparietal)",No association.
Ganella et al. (???),"Graph theory (116 region AAL atlas, Craddock atlas), local and global efficiency, strength of the network","TRS on CLZ treatment<HC: between fronto-temporal, fronto-occipital, temporo-occipital, and temporo-temporal lobes. The majority of reduced temporal lobe connections were located between Heschl's gyrus and the frontal lobe. The majority of reduced occipital lobe connections were located between the cuneus and the frontal lobe. The majority of reduced frontal lobe connections were located between the paracentral lobule and the occipital lobe. Graph measures: TRS on CLZ treatment<HC: Global efficiency TRS on CLZ treatment>HC: Local efficiency",No association.
Ganella et al. (???),"Graph theory (116 region AAL atlas, 360 region Glasser atlas)","TRS on CLZ treatment<HC>UFM: predominantly in temporal (fusiform gyri) and occipital regions TRS on CLZ treatment<HC, and HC=UFM: predominantly in frontal (paracentral lobule and rolandic operculum) and temporal regions (Heschl's gyri) Graph measures: TRS on CLZ treatment<HC: Global efficiency TRS on CLZ treatment>HC: Local efficiency",No association.
Kim et al. (???),"Seed-based [18 ROIs = 9 thalamus regions and 9 cortical networks (DMN, cingulo-opercular occipital, SMN, frontal parietal, lateral occipital, medial occipital, mediotemporal, temporal, and superior frontoparietal networks; Hwang et al., ???)}, ROI-to-ROI, ROI-to-voxels","Between thalamus ROIs and networks: TRS<HC: between thalamic region 1 and thalamic region 2 as well as thalamic region 9; between thalamic region 2 and thalamic region 3 as well as thalamic region 4; between the frontoparietal and the mediotemporal as well as the superior frontoparietal networks; between the DMN and the cingulo-opercular occipital network; between the medial occipital and mediotemporal networks TRS>HC: between thalamic region 2 and the medial occipital network; between the cingulo-opercular occipital network and the medial occipital as well as the superior mediotemporal networks; between the mediotemporal network and the superior frontoparietal network ROI to voxels connectivity: TRS<HC: between thalamic region 3 ROI and the left intracalcarine cortex TRS>HC: between thalamic region 1 ROI and the left lingual gyrus; between thalamic 2 ROI and the left preCG; between thalamic region 3 ROI and the right supplementary motor cortex; between thalamic region 6 ROI and the frontal medial cortex, the left post-CG as well as the right preCG; between thalamic region 9 ROI and the left preCG","TRS: Connectivity between the frontoparietal and mediotemporal network was negatively correlated with positive, negative, and general symptoms, and PANSS total (sub)scores. Connectivity between the DMN and the mediotemporal network was negatively correlated with negative and general symptoms, and the PANSS total (sub)scores. Connectivity between thalamic region 3 and the right lingual gyrus was negatively correlated with positive, negative, and general symptoms, and the PANSS total (sub)scores. Connectivity between thalamic region 2 and the left preCG was positively correlated with general symptoms subscore of the PANSS."
Gao et al. (???),"ReHo, classification (whether ReHo values differentiate between TRS, NTRS or HC)","ReHo values TRS on mixed treatments<NTRS: in the right angular gyrus TRS on mixed treatments>NTRS: in the left post-CG TRS on mixed treatments<HC: in the right fusiform gyrus, bilateral middle occipital gyri/middle temporal gyri, the right superior occipital gyrus, and the right superior parietal lobule TRS on mixed treatments>HC: in the right middle frontal gyrus/orbital part, the right putamen, bilateral inferior frontal gyri/triangular part, and bilateral superior medial frontal gyri","No association Prediction: The ReHo values in the left post-CG correctly classified 16 of 17 patients with TRS and 14 of 17 patients with NTRS. The optimal sensitivity of for differentiating TRS from NTRS was 94.12%, and the optimal specificity was 82.35%. The optimal sensitivity and specificity of the ReHo values in the left inferior frontal gyrus for differentiating TRS from HC were 100% (17/17) and 86.21% (25/29), respectively."
White et al. (???),"Seed-based (four striatal ROIs = dorsal caudate, ventral striatum/nucleus accumbens, dorsocaudal putamen, ventral-rostral putamen; Dandash et al., ???), ROI-to-voxels; prediction analysis (whether current PANSS subscores, or antipsychotic medication dosage predict striatal connectivity in TRS and NTRS)",TRS on mixed treatments<HC: between the dorsal caudate ROI and the sensorimotor cortex; between the ventral striatum ROI and the middle frontal gyrus; between the ventral-rostral putamen ROI and the striatum TRS on mixed treatments<NTRS: between the ventral striatum ROI and the substantia nigra; between the dorsocaudal putamen ROI and the pulvinar of the thalamus TRS on mixed treatments>NTRS: between the dorsal caudate ROI and the medial and superior PFC,"TRS on mixed treatments: Reduced connectivities between the ventral striatum ROI and the PCC, the precuneus, as well as the middle frontal gyrus were associated with higher PANSS positive subscores. Increased connectivities between the dorsal striatum ROIs and the precuneus, the PCC, the medial PFC, the middle temporal gyrus, as well as the inferior and superior parietal lobules were associated with higher PANSS positive subscores. Prediction: In TRS, CPZ dosage positively predicted connectivities between the dorsal caudate and the lingual gyrus, the cerebellum, the fusiform gyrus, as well as the occipital lobe; between the dorsocaudal putamen and the lingual gyrus as well as the cuneus; and between the ventral-rostral putamen and the medial frontal gyrus. CPZ dosage negatively predicted connectivities between the ventral striatum and the PCC, the lingual gyrus, the middle frontal gyrus, as well as the cerebellum; and between the dorsal caudate and the post-CG."
Arango et al. (???),"Seed-based (eleven DMN ROIs = PCC, anteromedial PFC, dorsomedial PFC, temporal parietal junction, lateral temporal cortex, temporal pole, ventromedial PFC, posterior inferior parietal lobule, retrosplenial cortex, parahippocampal cortex, hippocampal formation; Andrews-Hanna et al., ???), ROI-to-voxels","AVH (on mixed treatments)<HC, and AVH<NAVH: between the ventromedial PFC ROI and bilateral paracingulate cortices, bilateral anterior cingulate cortices, as well as bilateral subcallosal cortices; between the hippocampal formation ROI and bilateral PCC as well as bilateral precunei AVH>HC, and AVH>NAVH: between the dorsomedial PFC ROI and bilateral central opercular cortices, bilateral insular cortices, bilateral preCG, as well as bilateral superior temporal gyri; between the temporal pole ROI and the cerebellum AVH>HC, and NAVH>HC: between the posterior inferior parietal lobule ROI and bilateral occipital fusiform gyri, bilateral lingual gyri, as well as the left occipital pole; between the retrosplenial cortex ROI and bilateral occipital cortices, bilateral intracalcarine cortices, the left occipital fusiform gyrus, as well as bilateral lingual gyri",–
Blazer et al. (???),"Seed-based (seven ROIs = bilateral dorsal caudate, nucleus accumbens, bilateral ventral caudate, bilateral ventral rostral putamen; Di Martino et al., ???), ROI-to-voxels; connectivity of networks (DMN, frontoparietal network, and the salience networks) with the striatum; prediction analysis (whether connectivity before initiation of CLZ treatment predicts antipsychotic efficacy)",ROI analysis: Post-CLZ treatment>before initiation of CLZ treatment: between the right dorsal caudate ROI and the right anterior insula as well as the right inferior frontal lobe Network to ROI analysis: Post-CLZ treatment>before initiation of CLZ treatment: between the frontoparietal network and the right dorsal caudate,"Increased connectivities between the right dorsal caudate and the right anterior insula, the right inferior frontal lobe, as well as the frontoparietal network associated with a higher percent reduction in psychotic symptoms of the BPRS after 12-week CLZ treatment Prediction: Corticostriatal connectivities, i.e., between the right dorsal caudate and the right anterior insula as well as the right inferior frontal gyrus, before initiation of CLZ treatment predicted CLZ efficacy (reduction in positive symptoms)."
Sarpal et al. (???),"Seed-based [three ROIs = bilateral cholinergic basal forebrain based on Eickhoff-Zilles atlas (Eickhoff et al., ???; Zaborszky et al., ???), the bilateral dorsolateral PFC (Sarpal et al., ???), bilateral anterior hippocampus (Neurosynth; https://neurosynth.org/), ROI-to-voxels]",–,Connectivity before initiation of CLZ treatment between the basal forebrain and the dorsolateral PFC was negatively correlated with the BPRS psychosis measure score. Connectivity change between the basal forebrain and the dorsolateral PFC was positively correlated with CLZ/n-desmethylclozapine ratio.
