Variables,Value,Variables.1,Value.1
Age (years),Age (years),"WHO, histological type (%)","WHO, histological type (%)"
Mean ± std,51.4 ± 14.5,"III, anaplastic astrocytomas",17 (25)
Range,16–74,"III, anaplastic oligodendrogliomas",9 (13.2)
Males/females (%),48/68(70.6),"III, anaplastic ependymomas",1 (1.5)
Hemisphere (%),Hemisphere (%),"IV, glioblastoma",41 (60.3)
Left,50 (73.5),Tumor size (mm3),Tumor size (mm3)
Right,16 (23.5),Mean ± std,53.9 ± 40.1
Bilateral,2 (3),Range,1.7 200
Main location (%),Main location (%),Preoperative epilepsy (%),27/68(39.7)
Occipital,4 (5.9),Overall survival time(%),Overall survival time(%)
Temporal,20 (29.4),≤650 days,29 (42.6)
Parietal,7 (10.3),≥650 days (dead),27 (39.7)
Frontal,31 (45.6),≥650 days (live),12 (17.6)
Insula,6 (8.8),,
