Method,ACC (%),SEN (%),SPE (%),PPR (%),NPR (%),Cross Validation
dtf,62.96,66.39,58.53,63.18,65.28,3-fold
fc7*,81.04,85.87,77.94,73.28,89.42,3-fold
fc6-PCA*,80.78,84.88,77.04,76.03,85.37,3-fold
fc6-SR,77.11,85.39,71.01,67.25,86.53,3-fold
dtf + fc7*,90.66,96.77,85.04,85.82,96.31,3-fold
dtf + fc6-PCA*,90.27,96.48,84.76,84.98,94.05,3-fold
dtf + fc6-SR*,86.68,93.51,82.39,78.64,95.43,3-fold
dtf,63.23,67.24,60.25,60.71,66.21,10-fold
fc7*,82.35,86.2,79.48,75.76,88.58,10-fold
fc6-PCA*,80.88,85.27,76.92,74.52,86.26,10-fold
fc6-SR,77.94,85.6,71.8,69.35,87.04,10-fold
dtf + fc7*,90.46,95.82,85.78,84.81,95.59,10-fold
dtf + fc6-PCA*,90.17,94.83,85.9,84.33,95.71,10-fold
dtf + fc6-SR*,86.76,93.1,82.05,79.41,94.12,10-fold
