Variables,Value,Variables.1,Value.1
Age (years),Age (years),"WHO, histological type (%)","WHO, histological type (%)"
Mean ± std,50.2 ± 13.0,"III, anaplastic astrocytomas",6 (24)
Range,23–68,"III, anaplastic oligodendrogliomas",3 (12)
Males/females (%),16/9,"III, anaplastic ependymomas",1 (4)
Hemisphere (%),Hemisphere (%),"IV, glioblastoma",15 (60)
Left,16 (64),Tumor size (mm3),Tumor size (mm3)
Right,8 (32),Mean ± std,35.8 ± 32.3
Bilateral,1 (4),Range,8.4 99.3
Main location (%),Main location (%),Preoperative epilepsy(%),27(39.7)
Occipital,1 (4),Overall survival time(%),Overall survival time(%)
Temporal,6 (24),≤ 650 days,9 (36)
Parietal,2 (8),≥ 650 days (dead),3 (12)
Frontal,14 (56),≥ 650 days (live),13 (52)
Insula,2 (8),,
