Brain network 1,Brain network 2,Mean FNC strength of HC group,Mean FNC strength of ASD group,Mean FNC strength of SZ group,p‐value of two‐sample t‐test between SZ and ASD,T‐value of two‐sample t‐test between SZ and ASD
Caudate (SC‐IC 99),Precuneus (DM‐IC 40),−0.369,−0.381,−0.291,1.82 × 10−15,8.136
Subthalamus (SC‐IC 53),Cerebellum (CB‐IC 7),0.176,0.141,0.035,1.18 × 10−13,−7.568
Caudate (SC‐IC 99),Middle frontal gyrus (CC‐IC 88),0.173,0.168,0.095,3.11 × 10−10,−6.384
Thalamus (SC‐IC 45),Calcarine gyrus (VI‐IC 16),−0.307,−0.263,−0.176,1.05 × 10−09,6.185
Caudate (SC‐IC 99),Posterior cingulate cortex (DM‐IC 94),−0.190,−0.198,−0.130,3.14 × 10−09,6.000
Thalamus (SC‐IC 45),Right middle occipital gyrus (VI‐IC 12),−0.193,−0.165,−0.090,5.06 × 10−09,5.918
Middle occipital gyrus (VI‐IC 5),Precuneus (DM‐IC 40),−0.107,−0.069,−0.144,1.04 × 10−08,−5.792
Middle occipital gyrus (VI‐IC 5),Precuneus (DM‐IC 51),0.036,0.050,−0.025,2.02 × 10−08,−5.675
Subthalamus (SC‐IC 53),Cerebellum (CB‐IC 18),−0.145,−0.182,−0.264,2.42 × 10−08,−5.642
Cuneus (VI‐IC 15),Lingual gyrus (VI‐IC 8),0.811,0.805,0.731,2.69 × 10−08,−5.623
