Brain region,Mean GMV of HC group,Mean GMV of ASD group,Mean GMV of SZ group,Number of voxels in each region,p‐value of two‐sample t‐test between SZ and ASD,T‐value of two‐sample t‐test between SZ and ASD
Frontal_Sup_Medial_L,0.59,0.599,0.559,188,1.06 × 10−19,−9.355
Temporal_Mid_R,0.597,0.613,0.57,241,1.58 × 10−18,−9.030
Frontal_Sup_Medial_R,0.588,0.596,0.558,178,6.22 × 10−18,−8.862
Frontal_Sup_2_R,0.611,0.618,0.578,590,7.40 × 10−18,−8.840
Temporal_Pole_Sup_L,0.695,0.704,0.661,388,1.22 × 10−17,−8.778
Temporal_Pole_Mid_R,0.652,0.66,0.615,219,1.29 × 10−17,−8.772
Frontal_Sup_2_L,0.579,0.587,0.55,471,3.10 × 10−17,−8.661
Temporal_Pole_Sup_R,0.673,0.683,0.641,545,3.41 × 10−17,−8.649
Temporal_Sup_R,0.631,0.649,0.611,151,1.87 × 10−16,−8.432
Temporal_Inf_R,0.618,0.631,0.595,127,2.14 × 10−16,−8.415
Frontal_Mid_2_L,0.668,0.675,0.635,283,3.08 × 10−16,−8.368
Insula_R,0.619,0.624,0.581,145,5.30 × 10−16,−8.298
Temporal_Sup_L,0.714,0.723,0.686,164,2.50 × 10−15,−8.093
Temporal_Mid_L,0.682,0.694,0.657,223,6.44 × 10−15,−7.967
Frontal_Mid_2_R,0.578,0.582,0.548,303,8.41 × 10−14,−7.615
