Name,White-matter network,Layer,Correlation with gray-matter network (r value)
WM1,Superior longitudinal fasciculus network,Superficial,Dorsal attention network (0.73)
WM2,Inferior longitudinal fasciculus network,Superficial,–
WM3,Anterior corpus callosum network,Superficial,Salience/Ventral attention (0.46)
WM4,Corpus callosum network,Middle,Salience/Ventral attention (0.77)
WM5,Occipital network,Superficial,Visual network (0.87)
WM6,Inferior temporal network,Superficial,Sensor-motor network (0.73)
WM7,Prefrontal network,Superficial,Default-mode network (0.78)
WM8,Superior corona radiate network,Middle,–
WM9,Post-central network,Superficial,Sensor-motor network (0.87)
WM10,Cerebellar network,Superficial,–
WM11,Posterior callosum network,Middle,Default-mode network (0.78)
WM12,Inferior frontoparietal network,Superficial,Control network (0.91)
WM13,Deep network,Deep,–
