Anatomical region,Abbreviation,ROI label in AAL atlas
Prefrontal,Prefrontal,Prefrontal
Inferior frontal gyrus,IFG,"11,12,13,14,15,16"
"(pars orbitalis, pars opercularis, pars triangularis)",,
Ventromedial prefrontal cortex,vmPFC,"5,6,25,26"
(superior frontal gyrus: orbital and medial),,
Dorsolateral prefrontal cortex,dlPFC,"3,4,7,8"
"(dorsolateral superior frontal gyrus, middle frontal gyrus)",,
Temporoparietal,Temporoparietal,Temporoparietal
Superior parietal cortex,SPL,"59,60, 69,70"
(Superior parietal and paracentral lobules),,
Middle temporal gyrus,MTG,"85,86"
Superior temporal gyrus,STG,"81,82"
Inferior parietal cortex,,"61,62, 65,66"
"(Angular gyrus, Inferior parietal lobule)",,
Occipital,Occipital,Occipital
Calcarine cortex,,"43,44"
Inferior occipital gyrus,,"53,54"
Superior occipital gyrus,,"45,46"
Supplementary Regions,Supplementary Regions,Supplementary Regions
Anterior cingulate gyrus,ACC,"31,32"
Posterior cingulate gyrus,PCC,"35,36"
Insula,,"29,30"
Heschl's gyrus,,"79,80"
Rolandic cortex (pre- and post-central gyri),,"1,2,57,58"
Temporal pole,,"83,84,87,88"
Precuneus,,"67,68"
Supplementary motor area,SMA,"19,20"
Putamen,,"73,74"
Caudate,,"71,72"
Pallidum,,"75,76"
Thalamus,,"77,78"
