HC > ALS (All),HC > ALS (All),HC > ALS (All),HC > ALS (All),HC > ALS (All),HC > ALS (All),HC > ALS (All),HC > ALS (All),HC > ALS (All),HC > ALS (All)
Unnamed: 0_level_1,Peak level,Peak level,Peak level,Peak level,MNI coordinates,MNI coordinates,MNI coordinates,Hemisphere,Structure
K,pFDR,T,Cohen’s d,puncorr,x,y,z,Unnamed: 8_level_2,Unnamed: 9_level_2
"1,491",<.001,5.26,0.82,<.001,−42,−75,−12,L,Inferior occipital lobe
28,.002,4.21,0.66,<.001,−54,3,−15,L,Mid-temporal lobe
72,.002,4.12,0.64,<.001,−60,−12,−6,L,Mid-temporal lobe
23,.002,4.10,0.64,<.001,18,−72,39,R,Cuneus
33,.002,3.97,0.62,<.001,63,−12,18,R,Postcentral gyrus
,,,,,,,,,
HC > ALSni,HC > ALSni,HC > ALSni,HC > ALSni,HC > ALSni,HC > ALSni,HC > ALSni,HC > ALSni,HC > ALSni,HC > ALSni
,Peak level,Peak level,Peak level,Peak level,MNI coordinates,MNI coordinates,MNI coordinates,Hemisphere,Structure
,,,,,,,,,
K,pFDR,T,Cohen’s d,puncorr,x,y,z,,
,,,,,,,,,
74,.014,4.52,0.78,<.001,−42,−78,−12,L,Inferior occipital lobe
197,.014,4.03,0.69,<.001,39,−75,−18,R,Cerebellum Crus I
69,.014,3.99,0.69,<.001,−12,−75,−12,L,Cerebellum VI
59,.014,3.91,0.67,<.001,12,−66,−12,R,Cerebellum VI
,,,,,,,,,
HC > ALSci,HC > ALSci,HC > ALSci,HC > ALSci,HC > ALSci,HC > ALSci,HC > ALSci,HC > ALSci,HC > ALSci,HC > ALSci
,Peak level,Peak level,Peak level,Peak level,MNI coordinates,MNI coordinates,MNI coordinates,Hemisphere,Structure
,,,,,,,,,
K,pFDR,T,Cohen’s d,puncorr,x,y,z,,
,,,,,,,,,
575,<.001,5.27,1.12,<.001,45,−51,−18,R,Fusiform gyrus
748,<.001,5.16,1.10,<.001,−45,−69,−9,L,Inferior occipital lobe
ALSni > ALSci,ALSni > ALSci,ALSni > ALSci,ALSni > ALSci,ALSni > ALSci,ALSni > ALSci,ALSni > ALSci,ALSni > ALSci,ALSni > ALSci,ALSni > ALSci
,,,,,,,,,
,Peak level,Peak level,Peak level,Peak level,MNI coordinates,MNI coordinates,MNI coordinates,Hemisphere,Structure
,,,,,,,,,
K,pFDR,T,Cohen’s d,puncorr,x,y,z,,
,,,,,,,,,
46,0.144,3.96,0.85,<.001,−45,−60,0,L,Mid-temporal lobe
,,,,,,,,,
HC > ALS-FTD,HC > ALS-FTD,HC > ALS-FTD,HC > ALS-FTD,HC > ALS-FTD,HC > ALS-FTD,HC > ALS-FTD,HC > ALS-FTD,HC > ALS-FTD,HC > ALS-FTD
,Peak level,Peak level,Peak level,Peak level,MNI coordinates,MNI coordinates,MNI coordinates,Hemisphere,Structure
,,,,,,,,,
K,pFDR,T,Cohen’s d,puncorr,x,y,z,,
,,,,,,,,,
79,.017,4.55,1.05,<.001,−60,−12,−3,L,Mid-temporal lobe
