Differences in the default mode network,Differences in the default mode network.1,Differences in the default mode network.2,Differences in the default mode network.3,Differences in the default mode network.4
,All ALS patients,ALSni,ALSci,ALS-FTD
HC,P < 0.005,P < 0.005,,
ALSni,,,,
ALSci,,,,
ALS-FTD,,,,
Differences in the motor network,Differences in the motor network,Differences in the motor network,Differences in the motor network,Differences in the motor network
,All ALS patients,ALSni,ALSci,ALS-FTD
HC,P < 0.001*,P < 0.001*,P < 0.001*,P < 0.001*
ALSni,,,P < 0.001*,
ALSci,,,,
ALS-FTD,,,,
Differences in the ventral attention network,Differences in the ventral attention network,Differences in the ventral attention network,Differences in the ventral attention network,Differences in the ventral attention network
,All ALS patients,ALSni,ALSci,ALS-FTD
HC,P < 0.001*,P < 0.005,,
ALSni,,,P < 0.005,P < 0.005
ALSci,,,,
ALS-FTD,,,,
