ROI,"Clusters (x,y,z)*",Size (k),Brain Region,Voxel count Right Left,Voxel count Right Left.1,Size p-FDR
Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation
Crus 1,- 46 4–26,3966,,,,0.001
Crus 1,,,OP,586,–,
Crus 1,,,iLOC,464,–,
Crus 1,,,TP,454,–,
Crus 1,,,OFusG,428,–,
Crus 1,−8 -38 34,2668,,,,0.009
Crus 1,,,TP,–,553,
Crus 1,,,PPC,–,286,
Crus 1,,,aMTG,–,115,
Crus 1,,,Hippocampus,–,105,
Lobule 7b,−02 34 42,4675,,,,0.0004
Lobule 7b,,,FP,–,1118,
Lobule 7b,,,MidFG,–,970,
Lobule 7b,,,SFG,–,477,
Lobule 7b,,,PaCiG,–,384,
Lobule 7b,,,FP,238,–,
Lobule 7b,,,ACC,174,174,
Lobule 7b,−14 -56 24,4095,,,,0.0006
Lobule 7b,,,Precuneous,1550,1550,
Lobule 7b,,,PCC,978,978,
Lobule 7b,,,ACC,188,188,
Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation
Crus 1,- 48 -68 10,6149,,,,0.000
Crus 1,,,sLOC,–,872,
Crus 1,,,Precuneous,649,649,
Crus 1,,,PreCG,512,–,
Crus 1,,,sLOC,432,–,
Crus 1,,,iLOC,–,410,
Crus 1,,,Thalamus,364,–,
Crus 1,,,Cuneal,227,–,
Crus 1,,,LG,–,180,
Crus 1,,,PostCG,131,–,
Crus 1,,,Cuneal,–,109,
Crus 1,,,ICC,–,100,
Crus 2,−26 -68 18,2609,,,,0.02
Crus 2,,,Precuneous,510,510,
Crus 2,,,sLOC,–,502,
Crus 2,,,iLOC,–,247,
Crus 2,,,LG,–,201,
