Region,Voxels,Z score,Peak coordinates (MNI),Peak coordinates (MNI),Peak coordinates (MNI)
Region,(k),Z score,x,y,z
Positively associated with RewP‐Win,Positively associated with RewP‐Win,Positively associated with RewP‐Win,Positively associated with RewP‐Win,Positively associated with RewP‐Win,Positively associated with RewP‐Win
Right caudate seed,Right caudate seed,Right caudate seed,Right caudate seed,Right caudate seed,Right caudate seed
mPFC,138,3.56,8,54,−4
Left caudate seed,Left caudate seed,Left caudate seed,Left caudate seed,Left caudate seed,Left caudate seed
mPFC,63,3.49,2,52,−6
mOFC,65,3.25,−4,24,−14
Right putamen seed,Right putamen seed,Right putamen seed,Right putamen seed,Right putamen seed,Right putamen seed
Left superior temporal gyrus,95,3.41,−44,14,−32
Left putamen seed,Left putamen seed,Left putamen seed,Left putamen seed,Left putamen seed,Left putamen seed
Left superior temporal gyrus,76,3.42,−42,14,−30
Right NAcc seed,Right NAcc seed,Right NAcc seed,Right NAcc seed,Right NAcc seed,Right NAcc seed
Right parahippocampal gyrus,65,3.51,18,−26,−18
Left NAcc seed,Left NAcc seed,Left NAcc seed,Left NAcc seed,Left NAcc seed,Left NAcc seed
Left caudate,256,3.98,−10,18,−2
Right caudate,94,3.62,16,22,−2
Negatively associated with RewP‐Win,Negatively associated with RewP‐Win,Negatively associated with RewP‐Win,Negatively associated with RewP‐Win,Negatively associated with RewP‐Win,Negatively associated with RewP‐Win
Right caudate seed,Right caudate seed,Right caudate seed,Right caudate seed,Right caudate seed,Right caudate seed
Right posterior insula,173,4.09,40,−18,4
Left IFG,84,3.62,−62,12,6
Left caudate seed,Left caudate seed,Left caudate seed,Left caudate seed,Left caudate seed,Left caudate seed
Right superior MFG (BA 8),174,3.76,18,36,48
Right superior MFG (BA 10),127,3.75,8,60,10
Right putamen seed,Right putamen seed,Right putamen seed,Right putamen seed,Right putamen seed,Right putamen seed
Left superior MFG,72,3.29,−10,64,22
Left putamen seed,Left putamen seed,Left putamen seed,Left putamen seed,Left putamen seed,Left putamen seed
dACC,116,4.16,−12,34,20
Right lateral MFG,111,3.88,−36,44,24
Right superior MFG,75,3.50,8,64,16
Left superior MFG,120,3.15,−24,34,38
Right NAcc seed,Right NAcc seed,Right NAcc seed,Right NAcc seed,Right NAcc seed,Right NAcc seed
Left superior MFG,96,3.62,−30,54,34
Right superior MFG,91,3.05,16,62,34
Left NAcc seed,Left NAcc seed,Left NAcc seed,Left NAcc seed,Left NAcc seed,Left NAcc seed
Right superior MFG,69,3.35,14,56,34
Left MFG,75,3.20,−26,28,46
Right MFG,141,3.11,12,36,48
