Subject Demographics,Subject Demographics,Subject Demographics,Subject Demographics
Characteristic,Group,Group,Group
Characteristic,Paired 3T-7T,Extended 3T,Extended 7T
Number of Subjects,19,62,27
Age,35±11,38±13,36±11
Female,12,34,15
MRI Lesional,12,40,17
MTS,8,22,11
Lateralization,,,
Left,12/19,37/62,17/27
Right,7/19,25/62,10/27
Surgical Intervention,9,25,11
Engel I,6/9,16/25,8/11
Engel II-IV,3/9,9/25,3/11
Imaging Protocol Version,,,
A (3T),5/19,13/62,-
B (3T),14/19,49/62,-
C (7T),4/19,-,10/27
D (7T),15/19,-,17/27
