MNI coordinate (X Y Z),MNI coordinate (X Y Z).1,MNI coordinate (X Y Z).2,r,p-value,Network
23.96,31.94,−17.78,0.157,0.001,Limbic
8.36,47.59,−15.18,0.167,< 0.001,Limbic
27.06,16.22,−16.93,0.178,< 0.001,Limbic
−26.39,−90.23,3.12,0.159,0.001,Visual
−17.87,−68.03,4.81,0.166,< 0.001,Visual
−8.43,−80.5,7.44,0.153,0.002,Visual
6.21,−81.41,6.11,0.17,< 0.001,Visual
8.45,−71.84,10.79,0.167,< 0.001,Visual
19.81,−65.56,1.72,0.163,< 0.001,Visual
19.64,−85.62,−2.39,0.176,< 0.001,Visual
25.66,−79.47,−15.56,0.167,< 0.001,Visual
−49.14,−26.3,5.18,0.151,0.002,Sensorimotor
