(a) Arousal stimuli,(a) Arousal stimuli,(a) Arousal stimuli,(a) Arousal stimuli
No. of ROI in Power-264 atlas,Network (AAL region),PC,PC
No. of ROI in Power-264 atlas,Network (AAL region),Rest > Low,Rest > Low.1
63,Auditory (STG.R),PR,PR
(b) Valence stimuli,(b) Valence stimuli,(b) Valence stimuli,(b) Valence stimuli
#ROI in Power-264 atlas,Network (AAL regions),PC,COV
#ROI in Power-264 atlas,Network (AAL regions),Neutral > negative,Neutral > negative
168,"Visual (MOG.L, IOG.L)","CC, Eloc",
15,"Sensory/somatomotor hand (DCG.R, DCG.L, SMA.L)",,"CC, Eloc"
153,Visual (IOG.R),,Eloc
161,"Visual (ITG.R, IOG.R)",,Eloc
163,"Visual (CUN.R, PCUN.R)",,Eloc
