Unnamed: 0,HC (n = 24),SZ (n = 21)???,t/χ2,p-value
Age (years),24.13 ± 5.02,23.52 ± 4.64,0.415,0.680
Gender (male/female),17/7,15/6,0.002,0.965
Parental SES???,3.46 ± 3.32,4.25 ± 4.38,6.272,0.617
Education???,3.08 ± 0.58,2.85 ± 0.59,1.747,0.418
Smoking (packs per day),0.01 ± 0.06,0.07 ± 0.15,−1.607,0.121
Duration of Illness (months)???,–,18.58 ± 26.68,–,–
,,,,
BPRS??? (n = 19),BPRS??? (n = 19),BPRS??? (n = 19),BPRS??? (n = 19),BPRS??? (n = 19)
Total score,–,32.26 ± 9.82,,
Positive symptom subscale,–,5.05 ± 2.95,,
Negative symptom subscale,–,5.74 ± 2.21,,
,,,,
SANS??? (n = 17),SANS??? (n = 17),SANS??? (n = 17),SANS??? (n = 17),SANS??? (n = 17)
Total composite score???,–,21.56 ± 17.81,,
Global summary score,–,6.47 ± 4.96,,
,,,,
SAPS??? (n = 17),SAPS??? (n = 17),SAPS??? (n = 17),SAPS??? (n = 17),SAPS??? (n = 17)
Total composite score,–,7.12 ± 11.77,,
Global summary score,–,2.47 ± 3.48,,
,,,,
RBANS???,RBANS???,RBANS???,RBANS???,RBANS???
Total index,93.43 ± 8.66,74.35 ± 15.31,4.579,<0.001
Immediate memory,99.67 ± 12.11,79.65 ± 14.81,4.587,<0.001
Visuospatial,86.24 ± 14.98,79.94 ± 17.15,1.208,0.235
Language,103.71 ± 10.72,82.82 ± 11.17,5.862,<0.001
Attention,96.14 ± 13.54,76.47 ± 20.66,3.532,0.001
Delayed Memory,92.05 ± 8.27,79.88 ± 19.60,2.393,0.026
