rsFC,Cluster Size,Peak T,Peak Coordinate,Peak Coordinate,Peak Coordinate,Identified Brain Regions,10–20 System Locations
rsFC,Cluster Size,Peak T,x,y,z,Identified Brain Regions,10–20 System Locations
Brain regions from resting state functional connectivity analysis *,Brain regions from resting state functional connectivity analysis *,Brain regions from resting state functional connectivity analysis *,Brain regions from resting state functional connectivity analysis *,Brain regions from resting state functional connectivity analysis *,Brain regions from resting state functional connectivity analysis *,Brain regions from resting state functional connectivity analysis *,Brain regions from resting state functional connectivity analysis *
Positive,414,18.78,−24,3,−21,L Superior/Middle temporal gyrus/Postcentral gyrus,~3 cm inferior and anterior to T3
Positive,783,31.06,27,3,−24,R Superior/Middle temporal gyrus/Postcentral gyrus,~3 cm inferior and anterior to T4
Positive,148,13.34,3,48,−12,Bil Medial prefrontal cortex,~1 cm inferior to the midpoint of Fp2–Fp1
Negative,508,−7.72,−33,57,21,L Middle/Superior frontal gyrus,~midpoint to Fp1–F3
Negative,52,−5.18,−33,3,63,L Middle/Superior frontal gyrus,~1 cm anterior and superior to C3
Negative,187,−6.15,−51,−48,39,L Inferior parietal gyrus,~midpoint to C3–O1
Negative,142,−7.75,3,24,45,Bil Supplementary motor area,~midpoint to Fz–Cz
Negative,237,−8.34,45,−48,42,R Inferior parietal gyrus,~midpoint to C4–O2
Negative,787,−8.83,39,36,39,R Middle/Superior frontal gyrus,~close to F4
Negative,469,−8.81,−3,−75,54,Bil Precuneus,~1 cm left inferior to Pz
Overlapping brain regions from functional and anatomical connectivity analysis †,Overlapping brain regions from functional and anatomical connectivity analysis †,Overlapping brain regions from functional and anatomical connectivity analysis †,Overlapping brain regions from functional and anatomical connectivity analysis †,Overlapping brain regions from functional and anatomical connectivity analysis †,Overlapping brain regions from functional and anatomical connectivity analysis †,Overlapping brain regions from functional and anatomical connectivity analysis †,Overlapping brain regions from functional and anatomical connectivity analysis †
Positive,37,12.53,6,48,−12,R Medial prefrontal cortex,~1 cm right inferior to Fp2
Negative,36,−4.66,21,57,−3,R Orbitofrontal cortex,~close to Fp2
Negative,216,−7.78,12,−72,45,R Precuneus,~midpoint to Cz–O2
