IC#,Network Name,% of Explained Variance,% of Total Variance
IC01,Dorsal default mode network (DMN)Ventral DMN,5.31,2.68
IC02,Right executive control network,5.07,2.56
IC03,Language network,4.92,2.48
IC04,Left executive control network,4.65,2.34
IC05,High visual network,4.61,2.33
IC06,Ventral DMN,4.55,2.3
IC07,Dorsal DMN,4.54,2.29
IC08,Posterior salience network,4.51,2.27
IC09,Precuneus network,4.51,2.27
IC10,Primary visual network,4.43,2.23
IC11,Anterior salience network,4.17,2.1
IC13,Visuospatial network,4.09,2.06
IC14,Visuospatial network,4.05,2.04
IC15,High visual network,4.02,2.03
IC16,Sensorimotor network,3.97,2.0
IC17,Sensorimotor network,3.65,1.84
IC18,Auditory network,3.64,1.84
IC20,Basal ganglia network,3.29,1.66
IC21,Cerebellum,3.1,1.56
,Total,81.08,40.88
