Nodal graph measure,ROI number,Corresponding AAL area,Subnetwork
Within-module degree,124,ParaHippocampal_L,Default mode
Within-module degree,89,Precuneus_R,Default mode
Within-module degree,191,Parietal_Sup_L,Frontoparietal task
Degree centrality,77,Lingual_L,Default mode
Participant coefficient,9,Temporal_Inf_R,Uncertain
Within-module degree,92,Cingulum_Post_R,Default mode
Degree centrality,225,Thalamus_R,Subcortical
Participant coefficient,118,Temporal_Mid_L,Default mode
Participant coefficient,75,Frontal_Mid_Orb_R,Default mode
Nodal clustering coefficient,75,Frontal_Mid_Orb_R,Default mode
Nodal shortest path length,75,Frontal_Mid_Orb_R,Default mode
Participant coefficient,17,Paracentral_Lobule_L,Sensory/somatomotor
Degree centrality,224,Thalamus_L,Subcortical
Nodal shortest path length,9,Temporal_Inf_R,Uncertain
Participant coefficient,83,Temporal_Inf_L,Default mode
Degree centrality,126,Fusiform_L,Default mode
Betweenness centrality,77,Lingual_L,Default mode
Nodal clustering coefficient,77,Lingual_L,Default mode
Betweenness centrality,51,Cingulum_Mid_L,Cingulo-opercular task
Nodal local efficiency,92,Cingulum_Post_R,Default mode
