ROI number,Corresponding AAL area,Sub-network,Number of nodal metrics
77,Lingual_L,Default mode,7
126,Fusiform_L,Default mode,7
4,Temporal_Inf_L,Unknown,7
116,Temporal_Mid_R,Default mode,7
22,Precuneus_R,Sensory/somatomotor,6
17,Paracentral_Lobule_L,Sensory/somatomotor,6
251,Precuneus_R,Dorsal attention,6
259,Parietal_Inf_L,Dorsal attention,6
75,Frontal_Mid_Orb_R,Default mode,6
92,Cingulum_Post_R,Default mode,6
224,Thalamus_L,Subcortical,6
225,Thalamus_R,Subcortical,6
53,Supp_Motor_Area_R,Cingulo-opercular task,6
211,Insula_R,Salience,6
203,Cingulum_Mid_R,Salience,6
124,ParaHippocampal_L,Default mode,6
139,Frontal_Inf_Orb_R,Default mode,5
51,Cingulum_Mid_L,Cingulo-opercular task,5
172,Fusiform_L,Visual,5
263,Parietal_Sup_L,Dorsal attention,5
