Regions,MNI coordinate [mm],MNI coordinate [mm],MNI coordinate [mm],t,GLM Beta,Max % change (±1 SEM)
Regions,X,Y,Z,t,GLM Beta,Max % change (±1 SEM)
Ipsilateral stimulation hemisphere (left),Ipsilateral stimulation hemisphere (left),Ipsilateral stimulation hemisphere (left),Ipsilateral stimulation hemisphere (left),Ipsilateral stimulation hemisphere (left),Ipsilateral stimulation hemisphere (left),Ipsilateral stimulation hemisphere (left)
Executive/prefrontal,Executive/prefrontal,Executive/prefrontal,Executive/prefrontal,Executive/prefrontal,Executive/prefrontal,Executive/prefrontal
Dorsal lateral prefrontal cortex (DLPFC),5.10,−35.27,10.45,5.61,1.37,0.76 ± 0.20
Medial prefrontal cortex (mPFC),0.90,−34.97,−4.85,7.66,1.14,0.79 ± 0.14
Medial dorsal prefrontal cortex (mdPFC),5.10,−35.27,0.25,7.40,1.60,1.06 ± 0.21
Orbitofrontal cortex (OFC),0.90,−23.27,−2.45,6.81,0.91,0.79 ± 0.42
Ventral anterior prefrontal cortex (vaPFC),2.40,−38.27,−6.95,6.36,1.05,0.68 ± 0.15
Executive/insular,Executive/insular,Executive/insular,Executive/insular,Executive/insular,Executive/insular,Executive/insular
Anterior insular cortex (aIC),7.20,−26.58,2.05,7.77,1.45,1.05 ± 0.14
Posterior insular cortex (pIC),10.80,−23.27,7.15,13.64,1.20,1.01 ± 0.14
Limbic/basal ganglia,Limbic/basal ganglia,Limbic/basal ganglia,Limbic/basal ganglia,Limbic/basal ganglia,Limbic/basal ganglia,Limbic/basal ganglia
Amygdala (AM),10.80,−12.78,−2.45,6.58,1.87,1.29 ± 0.15
Fornix (FX),15.90,−4.38,−2.45,11.78,0.59,0.54 ± 0.12
Nucleus accumbens (NAc),2.40,−21.47,−7.25,12.11,1.63,1.27 ± 0.19
Putamen (Pu),12.60,−6.48,6.55,4.99,0.47,0.44 ± 0.12
Hippocampus (HP),10.90,7.50,9.60,5.90,0.31,0.36 ± 0.12
Dorsal anterior cingulate cortex (daCC),2.40,−29.88,2.35,10.20,1.43,1.06 ± 0.18
Dorsal posterior cingulate cortex (dpCC),4.20,−6.48,14.65,7.61,0.23,0.27 ± 0.12
Sensorimotor,Sensorimotor,Sensorimotor,Sensorimotor,Sensorimotor,Sensorimotor,Sensorimotor
Somatosensory association cortex (SAC),15.30,−0.48,21.25,4.75,0.54,0.68 ± 0.08
Thalamus,Thalamus,Thalamus,Thalamus,Thalamus,Thalamus,Thalamus
Medial dorsal thalamus (mdTH),0.60,−4.07,2.35,9.73,0.84,0.83 ± 0.12
Ventral anterior thalamus (vaTH),5.70,−4.37,−2.45,9.13,0.46,0.42 ± 0.12
Contralateral hemisphere (right),Contralateral hemisphere (right),Contralateral hemisphere (right),Contralateral hemisphere (right),Contralateral hemisphere (right),Contralateral hemisphere (right),Contralateral hemisphere (right)
Executive/insular,Executive/insular,Executive/insular,Executive/insular,Executive/insular,Executive/insular,Executive/insular
Posterior insular cortex (pIC),−9.50,−24.80,7.20,6.20,0.25,0.21 ± 0.05
Limbic/basal ganglia,Limbic/basal ganglia,Limbic/basal ganglia,Limbic/basal ganglia,Limbic/basal ganglia,Limbic/basal ganglia,Limbic/basal ganglia
Caudate (CD),−4.50,−17.87,−2.45,4.67,0.36,0.23 ± 0.09
Putamen (PU),−6.10,−9.50,9.60,5.98,0.35,0.33 ± 0.05
Sensorimotor,Sensorimotor,Sensorimotor,Sensorimotor,Sensorimotor,Sensorimotor,Sensorimotor
Premotor,−2.70,−19.70,16.80,5.05,0.34,0.31 ± 0.07
