Unnamed: 0,MA (N = 48),HC (N = 48)
Demographics,Demographics,Demographics
Age (years) (± SD),28.77 ± 7.66,28.77 ± 10.08
Education (years) (± SD),8.27 ± 3.68,11.96 ± 2.96???
Affective symptom severity,Affective symptom severity,Affective symptom severity
HAMA scores (± SD),3.56 ± 5.09,–
HAMD scores (± SD),4.90 ± 5.25,–
METH use,METH use,METH use
Abstinence (days) (± SD) (range),114.56 ± 116.20 (12–400),–
Use duration (months) (± SD)???,47.74 ± 39.62,–
Mean dose (g/time) (± SD),0.39 ± 0.30,–
Total amount (kg) (± SD)???,1.05 ± 2.10,–
Age of first use (years) (± SD)???,24.66 ± 8.20,–
