Region,H,x,y,z,k,T,p-uncorr,p-FWE
Reappraisal,,,,,,,,
Left centromedial amygdala,,,,,,,,
No suprathreshold clusters,,,,,,,,
Right centromedial amygdala,,,,,,,,
Insula,L,−34,12,−14,49.0,4.16,<0.001,0.264
Left basolateral amygdala,,,,,,,,
No suprathreshold clusters,,,,,,,,
Right basolateral amygdala,,,,,,,,
Middle Cingulum,R,4,−38,44,41.0,3.79,<0.001,0.602
Inferior Frontal Gyrus Triangularis,L,−54,38,20,10.0,3.64,<0.001,0.758
Suppression,,,,,,,,
Left centromedial amygdala,,,,,,,,
Superior Medial Frontal Gyrus,R,14,58,30,17.0,3.76,<0.001,0.645
Inferior Frontal Gyrus Opercularis,R,60,16,38,10.0,3.66,<0.001,0.744
Middle Cingulum,L,−8,−44,32,29.0,3.5,<0.001,0.882
Right centromedial amygdala,,,,,,,,
Middle Frontal Gyrus,L,−30,20,44,34.0,4.3,<0.001,0.176
Superior Frontal Gyrus,R,18,26,40,14.0,3.75,<0.001,0.647
Left basolateral amygdala,,,,,,,,
Superior Temporal Gyrus,L,−40,20,−16,11.0,3.67,<0.001,0.752
Inferior Frontal Gyrus Opercularis,R,56,16,36,15.0,3.5,<0.001,0.893
Right basolateral amygdala,,,,,,,,
Superior Frontal Gyrus,R,18,24,40,23.0,4.29,<0.001,0.187
