Variables,Control (n = 29) a,PIU (n = 28) a,T/χ2
Age,13.9 ± 1.5,14.4 ± 1.6,−1.061
Sex (male/female) b,11/18,14/14,0.843
Weekly Internet Duration,31.6 ± 15.1,41.1 ± 31.9,−1.444
IAT,27.2 ± 5.5,50.8 ± 6.1,−15.389 ***
Emotional Symptoms,4.1 ± 2.1,5.9 ± 2.2,−3.108 **
Conduct Problems,2.8 ± 1.4,3.5 ± 1.6,−1.656
Hyperactivity Symptoms,3.9 ± 1.6,4.5 ± 2.0,−1.262
Peer Problems,2.7 ± 1.2,3.0 ± 1.9,−7.33
Prosocial Behaviours,7.9 ± 2.2,7.1 ± 2.1,1.367
NS,11.1 ± 1.6,11.8 ± 1.7,−1.682
HA,9.9 ± 1.2,9.1 ± 1.5,2.045 *
RD,12.1 ± 1.2,12.4 ± 1.7,−0.57
