Brain region,Brain functional connection results,Brain functional connection results,Standard deviations,Standard deviations
Brain region,Voxel size,t value,Mean ± SD (FD model),Mean ± SD (FD acupuncture)
Right primary and secondary motor cortexes (M1/2),44,−2.909,0.13 ± 0.09,0.05 ± 0.10
Left primary and secondary motor cortexes (M1/2),23,−3.3159,0.09 ± 0.05,0.04 ± 0.07
Paraventricular nucleus of hypothalamus (PVA),13,−2.7523,0.11 ± 0.08,0.05 ± 0.09
Caudate putamen (CPu),9,2.56917,0.10 ± 0.05,0.14 ± 0.07
Barrel field of primary somatosensory cortex (S1BF),29,2.0751,0.12 ± 0.07,0.19 ± 0.09
Hippocampal CA3 (CA3),60,3.1749,0.07 ± 0.09,0.16 ± 0.11
Oral pontine reticular nuclei (PnO),257,3.6603,−0.01 ± 0.06,0.09 ± 0.10
Polymorphic layer of dentate gyrus (PoDG),62,3.5844,0.04 ± 0.07,0.11 ± 0.10
