Brain region,Brain functional connection results,Brain functional connection results,Standard deviations,Standard deviations
Brain region,Voxel size,t value,Mean ± SD (control),Mean ± SD (FD model)
Primary somatosensory cortex (S1),133,−3.4199,0.16 ± 0.11,0.06 ± 0.06
Hippocampal CA3 (CA3),>200,−4.9154,0.23 ± 0.09,0.10 ± 0.08
Thalamus (THa),>100,−3.1142,0.10 ± 0.11,0.02 ± 0.06
Ectorhinal cortex (Ect),35,−2.6699,0.25 ± 0.12,0.16 ± 0.09
Polymorphic layer of dentate gyrus (PoDG),>100,−4.4994,0.13 ± 0.08,0.02 ± 0.06
Medial parietal association cortex (MPtA),>100,−3.2009,0.22 ± 0.16,0.09 ± 0.09
Primary visual cortex (V1),>100,−3.9261,0.16 ± 0.12,0.06 ± 0.08
Temporal association cortex (TeA),>100,−4.4293,0.19 ± 0.11,0.07 ± 0.09
