Characteristic,OCD (n = 46),UFDR (n = 24),HC (n = 49),F/χ2,p
Demographic characteristic,Demographic characteristic,Demographic characteristic,Demographic characteristic,Demographic characteristic,Demographic characteristic
"Age, years",25.72 ± 5.20,29.29 ± 7.77,26.06 ± 5.68,1.574???,.212
Gender (M/F),33/13,12/12,27/22,4.136???,.126
Education,12.98 ± 2.84,12.96 ± 2.97,14.45 ± 2.73,3.942???,.022???
Clinical characteristic,Clinical characteristic,Clinical characteristic,Clinical characteristic,Clinical characteristic,Clinical characteristic
Y‐BOCS total,25.80 ± 5.07,0.88 ± 1.70,1.10 ± 2.14,694.710???,<.001***
Y‐BOCS obsessions,14.65 ± 3.19,0.38 ± 0.92,0.84 ± 1.68,521.396???,<.001***
Y‐BOCS compulsion,11.15 ± 4.96,0.50 ± 1.18,0.27 ± 0.73,164.134???,<.001***
OCI‐R,23.20 ± 12.63,8.50 ± 9.67,14.47 ± 12.63,12.972???,<.001***
BDI,17.59 ± 11.06,3.21 ± 5.77,7.51 ± 8.69,23.587???,<.001***
STAI state,51.39 ± 16.40,25.54 ± 17.97,35.16 ± 16.90,21.120???,<.001***
STAI trait,53.11 ± 14.57,25.58 ± 17.68,36.04 ± 17.21,25.531???,<.001***
