ROI 1,with,ROI 2,Young,Adult,Middle-Old,Old
LH Default PFC 1,,LH SomMot 2,0.61,0.56,0.57,0.49
LH Default PFC 3,,LH Default Par 1,0.39,0.47,0.45,0.4
LH Default Par 1,,RH Default Par 2,0.47,0.54,0.57,0.52
LH Default PFC 2,,RH Default PFCv 1,0.6,0.57,0.57,0.51
LH Default PFC 1,,RH Vis 1,0.38,0.43,0.42,0.41
LH Default PFC 3,,LH SomMot 4,0.5,0.51,0.54,0.52
LH SomMot 5,,RH SalVentAttn ParOper 1,0.41,0.46,0.47,0.39
LH Default PFC 5,,RH SalVentAttn ParOper 1,0.43,0.45,0.48,0.44
LH SalVentAttn PFCl 1,,LH Default Par 2,0.33,0.38,0.41,0.37
LH Limbic OFC 1,,RH Vis 2,0.52,0.56,0.57,0.49
RH Limbic TempPole 1,,RH SalVentAttn Med 1,0.42,0.46,0.45,0.39
LH Limbic TempPole 2,,RH Vis 5,0.65,0.56,0.57,0.49
LH Limbic OFC 1,,RH Limbic TempPole 1,0.65,0.56,0.57,0.49
LH SomMot 2,,LH Default PFC 4,0.54,0.58,0.55,0.5
LH SomMot 4,,RH Default PFCv 2,0.57,0.53,0.53,0.49
RH SomMot 3,,RH SalVentAttn ParOper 2,0.42,0.45,0.47,0.41
RH SomMot 1,,LH Default PFC 4,0.49,0.49,0.46,0.42
LH SomMot 6,,RH SomMot 3,0.46,0.45,0.42,0.4
LH Default Par 1,,RH Default PFC 2,0.54,0.56,0.53,0.49
LH Default Par 2,,RH SomMot 3,0.56,0.57,0.57,0.51
LH Default Par 2,,LH Default pCunPCC 2,0.55,0.58,0.55,0.52
RH Vis 3,,RH Vis 4,0.65,0.56,0.57,0.49
RH Vis 2,,LH SomMot 2,0.65,0.56,0.57,0.49
RH Vis 3,,LH Default PFC 2,0.41,0.44,0.48,0.45
RH Vis 4,,LH Default PFC 3,0.39,0.42,0.46,0.43
RH Vis 5,,RH Default Par 2,0.35,0.38,0.42,0.4
RH Vis 4,,LH Default PFC 1,0.36,0.41,0.45,0.43
