Domain,Domain,Test,Subtest (measure),Controls,Controls,Patients,Patients,Controls vs patients,Controls vs patients,Controls vs patients,Controls vs patients,Controls vs patients
Domain,Domain,Test,Subtest (measure),Controls,Controls,Patients,Patients,Test,value,p-corr,Impaired,Impaired
Domain,Domain.1,Test,Subtest (measure),Median,IQR,Median,IQR,Test,value,p-corr,criterion,N
Episodicmemory,Verbalrecall,WMS-III,Logical memory immediate recall (z),0.33,1.75,−0.84,1.33,t,4.97,<0.001,≤−1.67,5
Episodicmemory,Verbalrecall,WMS-III,Logical memory delayed recall (z),0.67‡,1.75,−0.84,2.25,U,98.00,<0.001,≤−1.67,11
Episodicmemory,Verbalrecall,WMS-III,Word list immediate recall (z),0.67,2.00,−0.67,0.92,t,5.58,<0.001,≤−1.67,4
Episodicmemory,Verbalrecall,WMS-III,Word list delayed recall (z),1.33‡,1.00,−0.33‡,2.00,U,158.50,<0.001,≤−1.67,2
Episodicmemory,Verbalrecall,D&P,People (z),−0.33,1.67,−1.33,1.09,t,3.49,0.026,≤−1.67,7
Episodicmemory,Visualrecall,ROCFT,Immediate recall (z),1.32‡,1.82,0.00,2.97,U,215.50,0.018,≤−1.67,7
Episodicmemory,Visualrecall,ROCFT,Delayed recall (z),1.38‡,1.87,0.00 ‡,3.42,U,220.50,0.034,≤−1.67,8
Episodicmemory,Visualrecall,D&P,Shapes (z),0.67,1.00,0.00,1.75,Wt,3.09,0.088,≤−1.67,10
Episodicmemory,Verbalrecognition,WMS-III,Word list recognition (z),0.67‡,1.00,0.00 ‡,1.58,U,193.50,0.003,≤−1.67,4
Episodicmemory,Verbalrecognition,RMT,Words (z),1.00‡,1.67,0.33 ‡,1.67,U,241.50,0.046,≤−1.67,3
Episodicmemory,Verbalrecognition,D&P,Names (z),0.33,2.00,−0.67,1.66,t,3.21,0.046,≤−1.67,4
Episodicmemory,Visualrecognition,RMT,Scenes (z),1.00,1.01,0.59‡,1.96,U,247.00,0.572,≤−1.67,1
Episodicmemory,Visualrecognition,D&P,Doors (z),0.67,1.33,−0.17,1.75,t,1.89,0.768,≤−1.67,7
Episodicmemory,Visualrecognition,RMT,Faces (z),−0.33,2.66,−0.33,1.66,t,0.61,>0.999,≤−1.67,4
Executivefunction,Executivefunction,WMS-III,Digit span (z),1.00,1.00,0.17,1.59,t,2.89,0.108,≤−1.67,1
Executivefunction,Executivefunction,DKEFS Fluency,Letter fluency (z),1.33,1.17,0.00,1.66,t,2.64,0.203,≤−1.67,1
Executivefunction,Executivefunction,DKEFS Fluency,Letter vs category fluency (z),0.33,1.33,1.00,1.00,t,−2.13,0.564,≤−1.67,0
Executivefunction,Executivefunction,DKEFS Fluency,Category switching vs fluency (z),0.00,1.67,0.33,1.00,t,−1.83,0.768,≤−1.67,0
Executivefunction,Executivefunction,DKEFS Trails,Number and letter sequencing (z),1.00‡,0.66,0.00,1.41,U,242.50,0.088,≤−1.67,0
Executivefunction,Executivefunction,DKEFS Trails,Letter-number switching vs number and letter sequencing (z),−0.33,0.67,−0.17,1.42,Wt,−0.39,>0.999,≤−1.67,1
"Intelligence,semantic memory, and language","Intelligence,semantic memory, and language",WASI/WASI-II,Vocabulary (z),1.50,1.30,0.80,1.30,t,2.55,0.234,≤−1.67,0
"Intelligence,semantic memory, and language","Intelligence,semantic memory, and language",WASI/WASI-II,Similarities (z),0.95‡,0.80,0.85,1.55,U,238.50,0.768,≤−1.67,0
"Intelligence,semantic memory, and language","Intelligence,semantic memory, and language",NART,p-FSIQ (z),1.44‡,0.68,1.04‡,0.71,U,260.00,0.245,≤−1.67,0
"Intelligence,semantic memory, and language","Intelligence,semantic memory, and language",GNT (z),GNT (z),0.88 ‡,0.98,0.15,1.91,U,295.50,0.693,≤−1.67,3
"Intelligence,semantic memory, and language","Intelligence,semantic memory, and language",C&CT (z),C&CT (z),0.34,1.30,0.02‡,1.30,U,324.50,0.831,≤−1.67,4
Mood and anxiety,Mood and anxiety,HADS,Depression (raw score; max=21),1.00‡,1.00,3.00‡,4.50,U,182.00,0.008,≥15 *,0
Mood and anxiety,Mood and anxiety,HADS,Anxiety (raw score; max=21),3.50‡,4.00,5.00,7.00,U,253.00,0.311,≥15 *,1
Visuospatial and motor function,Visuospatial and motor function,DKEFS Trails,Visual scanning (z),0.67‡,1.67,0.00,1.34,U,359.50,>0.999,≤−1.67,3
Visuospatial and motor function,Visuospatial and motor function,DKEFS Trails,Motor speed (z),0.67‡,1.00,0.33‡,0.67,U,367.50,>0.999,≤−1.67,3
Visuospatial and motor function,Visuospatial and motor function,VOSP,Cube analysis (raw score; max=10),10.00‡,1.00,10.00‡,1.00,U,354.00,>0.999,≤6†,2
Visuospatial and motor function,Visuospatial and motor function,VOSP,Dot counting (raw score; max=10),10.00‡,0.00,10.00‡,0.00,U,378.50,>0.999,≤8†,0
Visuospatial and motor function,Visuospatial and motor function,VOSP,Position discrimination (raw score; max=20),20.00‡,0.00,20.00‡,1.00,U,387.00,>0.999,≤18†,4
Visuospatial and motor function,Visuospatial and motor function,ROCFT,Copy (ranked percentile ranges),> 16th percentile‡,–,> 16th percentile‡,–,U,421.50,>0.999,≤16th percentile,2
