Unnamed: 0,AD (n = 40),NC (n = 30),P Value
Age (years),65 ± 10,64 ± 8,0.15a
Gender (male/female),18/22,15/15,0.51b
Education years,11.18 ± 3.19,12.58 ± 4.60,0.18a
CDR,0.5–2,0,–
MMSE,8–20 (14.00 ± 6.00),26–30 (28.00 ± 2.00),<0.001a
AVLT,8–24 (14.81 ± 4.12),39–52 (44.42 ± 2.74),<0.001a
MoCA,8–19 (14.94 ± 3.23),27–30 (28.63 ± 0.67),<0.001a
CDT,3–8 (6.25 ± 1.43),8–9 (8.71 ± 0.46),<0.001a
ADL,22–45 (30 ± 9.50),20–22 (20 ± 0.30),<0.001a
HAMD,0–3 (1.06 ± 1.08),0–3 (0.61 ± 1.00),0.07a
HIS,0–3 (1.16 ± 0.77),0–3 (1.13 ± 1.07),0.91a
