Unnamed: 0_level_0,Unnamed: 1_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 17_level_0,Unnamed: 18_level_0
Unnamed: 0_level_1,Region of interest,x,y,z,T,k,Region of interest,x.1,y.1,z.1,T,k,Region of interest,x.2,y.2,z.2,T,k
,Rest > Self and Other,,,,,,Self > Rest and Other,,,,,,Other > Rest and Self,,,,,
DMN,L Frontal medial orbital,0,51,−6,225.91,114.0,L Frontal medial orbital,0,48.0,−9,349.25,21.0,L Frontal medial orbital,0,57.0,0,250.58,69.0
,R Frontal medial orbital,9,42,−3,53.74,,,,,,,,R Frontal medial orbital,9,42.0,−3,32.53,
,L Superior frontal,−12,36,51,67.61,82.0,,,,,,,L Superior medial frontal,−9,39.0,48,50.87,73.0
,R Posterior cingulate/ Precuneus,9,−66,33,55.12,32.0,,,,,,,R Superior frontal,15,39.0,48,42.36,12.0
,R Superior frontal,15,39,48,44.38,13.0,,,,,,,,,,,,
,L Lingual,−15,−36,−3,40.03,27.0,,,,,,,,,,,,
,L Parahippocampal,−18,−33,−12,36.64,,,,,,,,,,,,,
SN,L Supplementary motor area,−6,15,54,246.68,421.0,L Supplementary motor area,−6,12.0,54,348.68,404.0,L Supplementary motor area,−6,3.0,69,129.23,84.0
,R Supplementary motor area,9,6,69,69.3,,R Superior frontal,21,45.0,21,94.55,74.0,R Supplementary motor area,6,3.0,69,101.53,
,L Anterior Insula,−45,18,−9,144.23,51.0,R Middle frontal,36,39.0,27,59.49,,L Anterior insula,−39,18.0,−9,126.62,81.0
,L Middle frontal,−30,54,27,70.23,17.0,L Middle frontal,−36,39.0,27,77.74,31.0,R Anterior insula,39,9.0,−3,100.82,80.0
,R Anterior Insula,46,18,−6,56.65,26.0,R Anterior cingulate,12,36.0,24,51.7,23.0,L Anterior cingulate,−9,36.0,21,80.46,210.0
,,,,,,,L Anterior Insula,−36,12.0,−9,37.17,10.0,R Anterior cingulate,6,30.0,24,54.94,
,,,,,,,,,,,,,L Middle frontal,−24,48.0,27,69.35,39.0
,,,,,,,,,,,,,R Superior frontal,21,9.0,57,58.97,15.0
,,,,,,,,,,,,,L Superior frontal,−18,3.0,63,58.89,13.0
