Unnamed: 0,HC (n = 25),PD-NC (n = 27),PD-MCI (n = 27),p-value
Age (years)#,59.44 (5.77),63.11 (9.27),62.59 (6.61),0.17
Gender (male/female),11/14,15/12,16/11,0.61
Education (years),12.08 (2.91),13.37 (2.91),7.78 (4.27),<0.001†‡
Disease duration (years),—,3.71 (2.96),3.65 (2.86),0.82
Hoehn and Yahr stage,—,1.88 (0.50),1.71 (0.68),0.20
UPDRS Part III#,—,23.82 (7.38),21.38 (9.53),0.38
L-DOPA dose (mg/day),—,334.13 (255.73),370.88 (392.0),0.93
HAMD,1.80 (2.29),2.89 (1.50),3.44 (2.31),0.006*†
Attention and working memory,Attention and working memory,Attention and working memory,Attention and working memory,Attention and working memory
Trait making test (B-A),30.52 (11.97),37.22 (26.09),99.78 (57.97),<0.001†‡
Digit span forward,7.20 (1.32),7.22 (1.55),5.63 (1.45),<0.001†‡
Digit span backward,5.44 (1.56),4.63 (1.33),3.52 (0.98),<0.001†‡
Executive function,Executive function,Executive function,Executive function,Executive function
Verbal fluency test,21.80 (4.00),17.04 (3.24),15.44 (4.29),<0.001*†
Clock drawing test,9.52 (0.92),9.52 (1.19),7.07 (2.53),<0.001†‡
Language,Language,Language,Language,Language
WAIS-IV,17.44 (2.75),17.19 (3.49),9.48 (3.66),<0.001†‡
Boston naming test,24.76 (1.79),24.07 (2.99),19.93 (4.44),<0.001†‡
Memory,Memory,Memory,Memory,Memory
AVLT immediate recall#,29.56 (6.64),26.96 (5.91),21.89 (4.60),<0.001†‡
AVLT delayed recall,10.40 (2.60),9.44 (2.38),7.56 (3.70),<0.001†
Logic memory immediate recall,5.20 (1.91),5.19 (1.39),2.96 (1.76),<0.001†‡
Logic memory delayed recall,4.29 (1.40),4.15 (1.63),2.26 (1.77),<0.001†‡
Visual spatial function,Visual spatial function,Visual spatial function,Visual spatial function,Visual spatial function
CLOX,14.04 (0.73),13.39 (1.11),11.37 (2.18),<0.001†‡
JOLO,21.36 (5.15),19.78 (4.79),14.78 (5.61),<0.001†‡
