Items,WMH I,WMH II,WMH III,p-value
Globe cognitive function,,,,
MMSE,29.00(2.00),28.00(2.00),28.00(2.00)a,<0.001*
MoCA,27.00(3.00),25.00(5.00)a,24.00(6.00)a,<0.001*
Processing speed,,,,
TMT A(s),41.00(20.00),59.58±20.36a,65.00(26.00)a,<0.001*
Stroop B(s),19.50(8.00),21.00(9.00),25.45±7.69a,0.007*
Z score,−0.29±0.65,0.13±0.84a,0.48±0.87a,<0.001*
Executive function,,,,
TMT B-A(s),31.00(28.00),52.00(57.00)a,72.50(67.00)a,<0.001*
Stroop C-B(s),11.00(11.00),11.00(14.00),15.50±10.22,0.492
Z score,−0.25±0.45,0.16±0.85a,0.36±0.87a,<0.001*
Episodic memory,,,,
AVLT-LDR,5.38±2.23,5.00(4.00)a,3.00(3.00)a,0.001*
VR-DR..,10.00(4.00),7.26±3.46a,6.90±4.38a,<0.001*
Z score,0.36±0.74,−0.27±0.64a,−0.47±0.73a,<0.001*
Language,,,,
BNT,54.50(7.00),53.00(9.00)a,49.70±5.94a,0.005*
CVF,18.41±4.42,17.00(4.00),16.65±3.83,0.063
Z score,0.24±0.76,−0.18±0.79a,−0.31±0.82a,0.004*
Visual spatial function,,,,
VR copy,14.00(0.00),14.00(0.00),14.00(0.00),0.071
CDT,4.00(0.00),4.00(0.00),4.00(0.00),0.731
Z score,0.32(0.00),0.32(0.48),0.32(0.00),0.552
