ROI1,ROI2,Score,P Value
Salience.SMG,Default Mode.LP(R),2.56,0.00056
Sensori Motor. Superior,Salience. RPFC,2.14,0.00012
,DorsalAttention.IPS (L),2.14,0.00037
,DorsalAttention.IPS (R),2.25,0.00057
Default Mode.LP (L),DefaultMode.PCC,2.06,0.00026
,Cerebellar. Posterior,−2.21,0.00093
,DorsalAttention.FEF,−2.59,0.0006
,Cerebellar.Anterior,−2.21,0.00072
Default Mode. MPFC,SensorMotor. latera,−2.32,0.00085
,Cerebellar. Posterior,−2.35,0.00028
