Unnamed: 0,Controls (n = 22),PD (n = 18),SSD-PD (n = 18),p value
Age,63 ± 9,64 ± 8,66 ± 7,
Gender (male %),59,83,61,
Education (years),11 ± 3,10 ± 5,9 ± 4,
Disease duration (years),n.a.,3.8 ± 2.0,3.7 ± 2.4,
L-dopa equivalent dose,n.a.,274 ± 107,241 ± 109,
MMSE,28.1 ± 1.1,28.6 ± 2.0,28.0 ± 2.3,
FAB,n.a.,16 ± 2,16 ± 2,
UPDRS-III,n.a.,14 ± 5,16 ± 7,
H-Y,n.a.,1.5 ± 0.5,1.6 ± 0.4,
NPI-TOTAL SCORE???,n.a.,1.7 ± 1.4,5.4 ± 3.2,0.001???
SQ-anxiety,4.5 ± 3.6,5.9 ± 3.3,6.1 ± 4.4,
SQ-depression,2.9 ± 2.2,2.4 ± 2.5,4.8 ± 3.7,
SQ-somatic,4.8 ± 2.7,5.3 ± 1.9,13.3 ± 2.0,"0.0001???, ???"
"SQ-anger, hostility",3.5 ± 3.2,5.5 ± 4.7,4.4 ± 2.6,
SQ-relaxation,0.5 ± 1.0,0.5 ± 0.7,1.4 ± 1.2,
SQ-contentment,0.5 ± 0.5,0.6 ± 1.1,2.0 ± 2.0,
SQ-physical wellbeing,1.9 ± 0.9,2.5 ± 0.8,4.3 ± 1.4,0.005??? 0.01???
SQ-friendliness,0.4 ± 0.7,0.8 ± 1.0,0.8 ± 0.6,
DCPR,n.a.,2.5 ± 1.4,4.0 ± 1.8,0.04???
