Unnamed: 0_level_0,Child/Adolescent Cohort,Child/Adolescent Cohort,Child/Adolescent Cohort,Adolescent Cohort,Adolescent Cohort,Adolescent Cohort,Adult Cohort,Adult Cohort,Adult Cohort
Unnamed: 0_level_1,ASD n = 49,TC n = 50,p,ASD n = 11,TC n = 11,p,ASD n = 17,TC n = 19,p
Age (years),Age (years),Age (years),Age (years),Age (years),Age (years),Age (years),Age (years),Age (years),Age (years)
,13.65 (2.76) 7.4–17.6,13.32 (2.76) 8–18,.55,14.6 (2.1) 13–19,14.4 (1.3) 12–16,.72,49.7 (6.6) 40.4–60.6,50.4 (6.3) 40.6–60.9,.73
Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex
# female,8,10,.64,2,1,.53,3,1,.24
RMSD,RMSD,RMSD,RMSD,RMSD,RMSD,RMSD,RMSD,RMSD,RMSD
rest,.06 (0.026) 0.017–0.11,.06 (0.03) 0.017–0.14,.94,.08 (0.03) 0.03–0.12,.06 (0.01) 0.04–0.08,.14,.11 (0.05) 0.04–0.22,.09 (0.05) 0.05–0.19,.26
task,–,–,–,.08 (0.03) 0.008–0.14,.06 (0.02) 0.006–0.09,.18,–,–,–
WASI-II,WASI-II,WASI-II,WASI-II,WASI-II,WASI-II,WASI-II,WASI-II,WASI-II,WASI-II
Verbal,103 (18) 59–147,108 (10) 87–133,.08,109 (13) 83–131,110 (17) 85–135,.83,101 (29) 45–160,116 (16) 85–144,.07
Non-Verbal,107 (19) 53–145,106 (13) 62–137,.72,112 (23) 75–156,107 (15) 80–128,.56,104 (24) 63–138,113 (11) 93–131,.13
Full-Scale,106 (18) 61–141,108 (11) 79–132,.50,112 (17) 77–136,110 (17) 88–135,.79,102 (24) 57–147,120 (11) 102–139,.01
ADOS-2,ADOS-2,ADOS-2,ADOS-2,ADOS-2,ADOS-2,ADOS-2,ADOS-2,ADOS-2,ADOS-2
SA,10.02 (3.9) 3–20,–,–,8.54 (2.88) 3–13,–,–,10.6 (3.8) 6–19,–,–
RRB,3.02 (1.7) 0–7,–,–,2.64 (2.54) 0–9,–,–,3.5 (2.0) 1–8,–,–
Total,13.3 (4.4) 5–24,–,–,10.3 (2.76) 7–16,–,–,14.2 (4.2) 8–23,–,–
