ID,Regions of interest,X,Y,Z
,LBN 1,LBN 1,LBN 1,LBN 1
1.0,Superior Frontal Gyrus (L),0,24,50
2.0,Middle Frontal Gyrus (R),40,24,42
3.0,Inferior Parietal Lobule (R),58,−52,38
4.0,Inferior Parietal Lobule (L),−58,−50,44
5.0,Middle Frontal Gyrus (L),−36,52,−2
6.0,Middle Frontal Gyrus (L),−42,14,48
7.0,Middle Frontal Gyrus (R),42,46,−8
8.0,Insula (R),36,16,6
9.0,Cingulate Gyrus (R),2,−22,30
10.0,Precuneus (R),10,−64,36
,LBN 2,LBN 2,LBN 2,LBN 2
11.0,Inferior Frontal Gyrus (L),−46,24,−8
12.0,Superior Frontal Gyrus (L),−4,10,62
13.0,Inferior Frontal Gyrus (R),50,28,−8
14.0,Superior Temporal Gyrus (L),−46,−52,28
15.0,Middle Temporal Gyrus (L),−54,−34,−2
16.0,Middle Frontal Gyrus (L),−44,6,50
17.0,Superior Frontal Gyrus (L),−30,48,26
18.0,Caudate (L),−16,10,12
19.0,Tuber (R),36,−60,−30
,LBN 3,LBN 3,LBN 3,LBN 3
20.0,Amygdala (L),−22,−4,−16
21.0,Amygdala (R),24,−4,−18
22.0,Fusiform Gyrus (R),40,−46,−18
23.0,Thalamus (R),6,−26,0
24.0,Fusiform Gyrus (L),−38,−54,−14
25.0,Parahippocampal Gyrus (L),−22,−28,−4
26.0,Medial Frontal Gyrus (B),0,54,−10
27.0,Inferior Occipital Gyrus (L),−42,−76,−6
,LBN 4,LBN 4,LBN 4,LBN 4
28.0,Postcentral Gyrus (L),−58,−22,32
29.0,Insula (L),−44,−4,10
30.0,Superior Parietal Lobule (L),−28,−52,56
31.0,Postcentral Gyrus (R),62,−22,30
32.0,Cuneus (L),−10,−76,22
33.0,Middle Occipital Gyrus (L),−48,−74,2
34.0,Thalamus (R),10,−26,−4
35.0,Precuneus (R),28,−60,38
36.0,Posterior Cingulate (R),16,−56,16
