Network,ROI,Hemisphere (after image flipping),Approximate anatomic location,size (voxels)
Salience Network*,SN 1,Contralesional,Left middle frontal gyrus,651
Salience Network*,SN 2,Contralesional,Left insula,305
Salience Network*,SN 3,Medial,"Anterior cingulate cortex, medial prefrontal cortex",2887
Salience Network*,SN 4,Ipsilesional,Right middle frontal gyrus,470
Salience Network*,SN 5,Ipsilesional,Right insula,319
Default Mode Network*,DMN 1,Medial,"Medial prefrontal cortex, anterior cingulate cortex",5257
Default Mode Network*,DMN 2,Medial,"Posterior cingulate cortex, precuneus",1555
Default Mode Network*,DMN 3,Contralesional,Left parahippocampal gyrus,134
Default Mode Network*,DMN 4,Contralesional,"Left middle occipital gyrus, angular gyrus",491
Default Mode Network*,DMN 5,Medial,Precuneus,1921
Default Mode Network*,DMN 6,Ipsilesional,Right parahippocampal gyrus,90
Default Mode Network*,DMN 7,Ipsilesional,"Right middle occipital gyrus, angular gyrus",752
Central Executive Network*,EN 1,Contralesional,"Left middle frontal gyrus, superior frontal gyrus",1501
Central Executive Network*,EN 2,Contralesional,Left inferior frontal gyrus,437
Central Executive Network*,EN 3,Contralesional,Left angular gyrus,2110
Central Executive Network*,EN 4,Ipsilesional,"Right middle frontal gyrus, superior frontal gyrus",2093
Central Executive Network*,EN 5,Ipsilesional,Right inferior frontal gyrus,356
Central Executive Network*,EN 6,Ipsilesional,Right angular gyrus,1873
