Group,Connectivity peak,Hemisphere,Size,MNI coordination,MNI coordination.1,MNI coordination.2,t-value
,,,,x,y,z,
Treatment group (After vs. before),Inferior temporal gyrus,R,64.0,60,−60,−15,-3.471
,Middle temporal gyrus,R,57.0,45,−66,24,-3.388
,Superior frontal gyrus,R,56.0,−24,57,27,3.689
,Supplementary motor area,R,45.0,12,−9,54,3.423
,Putamen,L,44.0,−18,15,−6,3.349
,Putamen,R,83.0,15,3,−6,4.392
Placebo group (After vs. before),Angular,L,106.0,−57,−63,33,12.077
,Precuneus,L,175.0,−3,−78,42,11.151
,Middle cingulate gyrus,L,63.0,−12,−33,42,-16.23
,Insula,L,63.0,−39,−9,12,-12.413
,Insula,R,106.0,45,−30,18,-18.522
