Abbreviations,Gyrus,Lobe,Average node degree,"MNI(X,Y,Z)"
Hipp_L_2_1,Hippocampus,Subcortical nuclei,19.351,"−22, −14, −19"
Hipp_R_2_2,Hippocampus,Subcortical nuclei,17.907,"29, −27, −10"
BG_R_6_5,Basal ganglia,Subcortical nuclei,16.835,"14, 5, 14"
Hipp_L_2_2,Hippocampus,Subcortical nuclei,16.464,"−28, −30, −10"
Hipp_R_2_1,Hippocampus,Subcortical nuclei,15.948,"22, −12, −20"
FuG_L_3_3,Fusiform gyrus,Temporal lobe,15.835,"−42, −51, −17"
BG_L_6_5,Basal ganglia,Subcortical nuclei,15.784,"−14, 2, 16"
FuG_L_3_1,Fusiform gyrus,Temporal lobe,14.557,"−33, −16, −32"
FuG_R_3_1,Fusiform gyrus,Temporal lobe,14.474,"33, −15, −34"
OrG_L_6_5,Orbital gyrus,Frontal lobe,14.309,"−10, 18, −19"
BG_R_6_3,Basal ganglia,Subcortical nuclei,14.134,"15, 8, −9"
FuG_R_3_3,Fusiform gyrus,Temporal lobe,14.134,"43, −49, −19"
BG_R_6_6,Basal ganglia,Subcortical nuclei,13.361,"29, −3, 1"
BG_L_6_6,Basal ganglia,Subcortical nuclei,13.34,"−28, −5, 2"
OrG_R_6_3,Orbital gyrus,Frontal lobe,12.784,"23, 36, −18"
FuG_L_3_2,Fusiform gyrus,Temporal lobe,12.639,"−31, −64, −14"
MVOcC_L_5_5,Medioventral occipital cortex,Occipital lobe,12.619,"−13, −68, 12"
MVOcC_R_5_5,Medioventral occipital cortex,Occipital lobe,12.598,"15, −63, 12"
PCun_R_4_3,Precuneus,Parietal lobe,12.289,"16, −64, 25"
OrG_R_6_5,Orbital gyrus,Frontal lobe,12.206,"9, 20, −19"
OrG_L_6_3,Orbital gyrus,Frontal lobe,12.103,"−23, 38, −18"
PCun_L_4_3,Precuneus,Parietal lobe,11.948,"−12, −67, 25"
BG_L_6_3,Basal ganglia,Subcortical nuclei,11.835,"−17, 3, −9"
Tha_L_8_7,Thalamus,Subcortical nuclei,11.753,"−12, −22, 13"
Tha_R_8_7,Thalamus,Subcortical nuclei,11.68,"10, −14, 14"
BG_L_6_4,Basal ganglia,Subcortical nuclei,11.619,"−23, 7, −4"
BG_R_6_2,Basal ganglia,Subcortical nuclei,11.247,"22, −2, 3"
FuG_R_3_2,Fusiform gyrus,Temporal lobe,11.165,"31, −62, −14"
BG_L_6_2,Basal ganglia,Subcortical nuclei,11.093,"−22, −2, 4"
IPL_R_6_6,Inferior parietal lobule,Parietal lobe,10.979,"55, −26, 26"
INS_L_6_6,Insular gyrus,Insular lobe,10.856,"−38, 5, 5"
BG_R_6_4,Basal ganglia,Subcortical nuclei,10.825,"22, 8, −1"
PrG_R_6_6,Precentral gyrus,Frontal lobe,10.784,"51, 7, 30"
BG_L_6_1,Basal ganglia,Subcortical nuclei,10.577,"−12, 14, 0"
STG_R_6_3,Superior temporal gyrus,Temporal lobe,10.577,"51, −4, −1"
IPL_L_6_1,Inferior parietal lobule,Parietal lobe,10.392,"−34, −80, 29"
Tha_L_8_4,Thalamus,Subcortical nuclei,10.361,"−7, −14, 7"
MTG_R_4_4,Middle temporal gyrus,Temporal lobe,10.351,"58, −16, −10"
MTG_L_4_4,Middle temporal gyrus,Temporal lobe,10.34,"−58, −20, −9"
MVOcC_R_5_4,Medioventral occipital cortex,Occipital lobe,10.32,"18, −60, −7"
IFG_R_6_5,Inferior frontal gyrus,Frontal lobe,10.278,"42, 22, 3"
STG_L_6_1,Superior temporal gyrus,Temporal lobe,10.144,"−32, 14, −34"
MVOcC_L_5_2,Medioventral occipital cortex,Occipital lobe,10.034,"−5, −81, 10"
