Brain Areas,BA,Max t-Score,"(x, y, z)"
MS < HCs,,,
Inferior Temporal Gyrus,20,4.6,"(−57, −36, −21)"
Superior Parietal Lobule,7,3.6,"(36, −57, 51)"
Middle Temporal Gyrus,"21, 22",5.1,"(63, −45, 3)"
Inferior Parietal Lobule,40,3.7,"(51, −39, 60)"
Lingual Gyrus,18,3.8,"(3, −90, −6)"
MS > HCs,,,
Medial Frontal Gyrus,10,17.1,"(−6, 63, 6)"
Superior Frontal Gyrus,10,8.1,"(−12, 69, 3)"
Anterior Cingulate,25,3.7,"(−3, 18, −3)"
Caudate,-,10.4,"(−6, 12, 9)"
Lateral Ventricle,-,8.6,"(−3, 6, 9)"
Medial Frontal Gyrus,"10, 11",9.8,"(−6, 60, −12)"
Superior Temporal Gyrus,38,6.7,"(−45, 21, −27)"
Inferior Temporal Gyrus and Fusiform Gyrus,37,4.3,"(−54, −60, −12)"
Cuneus,18,4.7,"(−9, −96, 15)"
Inferior Frontal Gyrus,"10, 46",4.5,"(−54, 21, 24)"
