SCD group > HC group,SCD group > HC group,aMCI group > HC group,aMCI group > HC group
Cluster (AAL),Volume (voxels),Cluster (AAL),Volume (voxels)
Cluster 1,"Total: 21,873",Cluster 1,"Total: 22,001"
Peak (MNI): -42 -18 -24,Peak t: 11.5543,Peak (MNI): 36 -33 -24,Peak t: 11.7286
Temporal_Inf_L,558,Temporal_Inf_L,590
Fusiform_R,452,Temporal_Inf_R,486
Temporal_Inf_R,438,Fusiform_R,442
Fusiform_L,432,Fusiform_L,413
Temporal_Sup_L,379,Temporal_Sup_L,359
Insula_R,344,Insula_R,319
Insula_L,318,ParaHippocampal_R,310
Cerebelum_4_5_L,311,Cerebelum_4_5_L,298
ParaHippocampal_R,308,Cerebelum_6_R,281
Cerebelum_6_R,292,ParaHippocampal_L,281
ParaHippocampal_L,280,Temporal_Pole_Sup_L,273
Hippocampus_L,266,Insula_L,272
Hippocampus_R,256,Hippocampus_L,268
Frontal_Inf_Orb_R,252,Hippocampus_R,263
Temporal_Pole_Sup_L,251,Cerebelum_6_L,227
Frontal_Inf_Orb_L,240,Frontal_Inf_Orb_L,226
Cerebelum_4_5_R,229,Frontal_Inf_Orb_R,225
Cerebelum_6_L,223,Putamen_L,217
Putamen_R,221,Temporal_Mid_L,214
Putamen_L,221,Putamen_R,201
Temporal_Mid_L,214,Temporal_Sup_R,200
Caudate_L,208,Caudate_R,189
Caudate_R,191,Cerebelum_4_5_R,184
Temporal_Sup_R,188,Caudate_L,173
Postcentral_L,159,Temporal_Pole_Sup_R,162
Temporal_Pole_Sup_R,158,Postcentral_L,126
Rolandic_Oper_L,158,Frontal_Sup_Orb_R,126
Precentral_L,152,Precentral_L,125
Frontal_Sup_Orb_R,122,Rectus_R,120
Rectus_R,109,Rolandic_Oper_L,120
Vermis_4_5,102,Cerebelum_8_L,119
Temporal_Pole_Mid_R,100,Cerebelum_9_R,117
,,Frontal_Sup_Orb_L,104
,,Temporal_Pole_Mid_R,101
