Unnamed: 0,mTBI patients,Controls,P-value
Demographic,,,
Age,34.5 ± 13.3 (14–63),35.4 ± 12.0 (14–60),0.462
Gender (M/F),27/25,22/25,0.258
Education,9.3 ± 4.4,11.4 ± 5.7,0.062
α-syn,536.9 ± 152.4,517.2 ± 86.3,0.470
Neuropsychological test,,,
TMT A,60.5 ± 43.5,46.3 ± 33.2,0.073
FDS,8.1 ± 1.6,8.5 ± 1.5,<0.001*
BDS,4.1 ± 1.5,4.6 ± 1.9,0.458
LF,17.3 ± 5.4,18.9 ± 5.9,0.280
DSC,37.9 ± 16.2,47.2 ± 16.9,0.007*
Self-report measures,,,
PCS,10.6 ± 7.1,2.1 ± 2.6,<0.001*
PCL-C,25.0 ± 6.3,17.0 ± 0.0,<0.001*
FSS,10.4 ± 5.7,9.0 ± 0.0,0.054
BDI,4.7 ± 3.7,0.1 ± 0.2,<0.001*
ISI,6.9 ± 6.2,1.9 ± 3.1,<0.001*
mTBI severity (N%),,,
GCS = 15,52 (100%),,
"GCS = 13, 14",0 (0%),,
Causes for mild TBI (N%),,,
Motor vehicle accident,30 (58%),,
Assaults,13 (25%),,
Fall,9 (17%),,
