Unnamed: 0,Patient-A,Patient-B,P-value
Demographic,,,
Age,33.9 ± 13.7 (17–60),35.0 ± 13.2 (14–62),0.479
Gender (M/F),12/13,15/12,0.586
Education,9.4 ± 4.2,9.2 ± 4.6,0.941
α-syn,401.3 ± 66.3,662.5 ± 96.1,<0.001*
Neuropsychological test,,,
TMT A,62.0 ± 49.4,46.3 ± 33.2,0.679
FDS,8.2 ± 1.6,8.5 ± 1.5,0.718
BDS,4.2 ± 1.5,4.6 ± 1.9,0.652
LF,16.8 ± 5.9,18.9 ± 5.9,0.377
DSC,38.0 ± 14.5,47.2 ± 16.9,0.762
Self-report measures,,,
PCS,13.4 ± 8.3,2.1 ± 2.6,0.012*
PCL-C,25.6 ± 7.9,17.0 ± 0.0,0.612
FSS,12.0 ± 8.0,9.0 ± 0.0,0.026*
BDI,5.6 ± 4.2,0.1 ± 0.2,0.096
ISI,8.0 ± 6.7,1.9 ± 3.1,0.161
mTBI severity (N%),,,
GCS = 15,25 (100%),27 (100%),
"GCS = 13, 14",0 (0%),0 (0%),
Causes for mild TBI (N%),,,
Motor vehicle accident,14 (56%),16 (59%),
Assaults,4 (16%),9 (33%),
Fall,7 (28%),2 (8%),
