Regions (AAL abbreviation),MNI coordinates,MNI coordinates,MNI coordinates,Clustersize (mm2),t−value
Regions (AAL abbreviation),x,y,z,Clustersize (mm2),t−value
tDCS group > control group,,,,,
Inferior frontal gyrus (triangular part) L,−32,30,−12,95776.0,3.865
IFG pars orbitalis L,−4,0,10,95776.0,3.842
Parahippocampal gyrus R,22,−52,−20,5408.0,2.268
"Lobule IV, V of cerebellar hemisphere R",−48,0,−24,1912.0,3.683
Middle temporal gyrus L,30,28,36,3888.0,3.557
Middle frontal gyrus R,24,16,52,3888.0,2.938
Superior frontal gyrus (dorsolateral) R,22,54,−2,3744.0,3.329
Superior frontal gyrus (dorsolateral) R,50,46,−10,3744.0,2.651
IFG pars orbitalis R,4,40,−8,2768.0,3.314
Superior frontal gyrus (medial orbital) R,8,34,16,2768.0,2.995
Anterior cingulate cortex (supracallosal) R,50,16,4,696.0,3.128
Inferior frontal gyrus (opercular part) R,−16,−48,−16,2120.0,3.004
"Lobule IV, V of cerebellar hemisphere L",−36,−42,−34,2120.0,2.766
Lobule VI of cerebellar hemisphere L,−18,−46,2,2336.0,2.938
Precuneus L,−24,−28,−10,2336.0,2.107
Hippocampus L,−56,−42,4,2312.0,2.916
Middle temporal gyrus L,−64,−22,2,2312.0,2.81
Middle temporal gyrus L,−48,−58,14,2312.0,2.294
Middle temporal gyrus L,36,−36,−24,776.0,2.839
Fusiform gyrus R,−16,−86,−30,66016.0,1.709
tDCS group < control group,,,,,
Crus II of cerebellar hemisphere L,42,−68,−20,66016.0,2.251
Fusiform gyrus R,−16,−88,−16,66016.0,5.53
Lingual gyrus L,50,−70,−18,66016.0,5.373
Fusiform gyrus R,4,−42,−24,66016.0,4.296
"Lobule I, II of vermis",−52,−56,−26,66016.0,4.244
Crus I of cerebellar hemisphere L,22,−100,−10,66016.0,3.839
Lingual gyrus R,−40,−28,54,95776.0,5.197
Postcentral gyrus L,−32,−42,68,95776.0,4.661
Postcentral gyrus L,30,−88,34,95776.0,4.439
Middle occipital gyrus R,−10,−48,50,95776.0,4.325
Precuneus L,4,−52,64,95776.0,4.139
Precuneus R,−4,66,16,21736.0,4.812
Superior frontal gyrus (medial) L,8,32,60,21736.0,4.739
Superior frontal gyrus (medial) R,−26,56,32,21736.0,4.397
Middle frontal gyrus L,−8,48,50,21736.0,3.395
Superior frontal gyrus (medial) L,−2,68,−4,21736.0,3.392
Superior frontal gyrus (medial orbital) L,54,0,−42,2504.0,4.412
Inferior temporal gyrus R,34,0,−36,2504.0,2.379
Fusiform gyrus R,26,6,−28,1200.0,4.099
Parahippocampal gyrus R,64,−8,42,768.0,3.735
Postcentral gyrus R,42,−24,38,1776.0,3.599
Postcentral gyrus R,58,−38,34,1776.0,2.852
SupraMarginal gyrus R,−34,−76,30,6104.0,3.531
Middle occipital gyrus L,−40,−80,8,6104.0,3.365
Middle occipital gyrus L,54,−16,−20,2008.0,3.517
Inferior temporal gyrus R,42,−36,−16,2008.0,2.174
Fusiform gyrus R,−54,24,24,95776.0,4.04
