Regions (AAL abbreviation),MNI coordinates,MNI coordinates,MNI coordinates,Clustersize (mm3),t−value
Regions (AAL abbreviation),x,y,z,Clustersize (mm3),t−value
tDCS group,,,,,
Lobule VI of cerebellar hemisphere L,−20,−66,−20,680.0,4.84
"Lobules IV, V of cerebellar hemisphere L",−22,−46,−20,1208.0,4.31
Middle occipital gyrus L,−30,−92,16,512.0,4.13
"Lobule IV, V of vermis L",2,−52,−14,528.0,3.56
Superior occipital gyrus L,−12,−100,8,368.0,3.47
Hippocampus L,−32,−30,−12,1208.0,3.61
Control group,,,,,
Calcarine L,−4,−92,−4,904.0,3.86
Calcarine L,−10,−60,8,560.0,3.66
Calcarine L,−12,−76,8,904.0,2.19
Superior occipital gyrus L,−12,−98,18,904.0,2.17
tDCS group > control group,,,,,
Inferior frontal gyrus (triangular part) L,−44,38,12,744.0,5.55
Lobule VI of cerebellar hemisphere L,−14,−68,−24,1000.0,5.26
Temporal pole (middle temporal gyrus) R,40,14,−34,872.0,4.95
Insula L (ventral anterior),−30,14,−18,1176.0,4.86
ParaHippocampal gyrus L,−30,−36,−14,2464.0,4.44
Fusiform gyrus R,36,−24,−26,1984.0,4.42
Insula L (dorsal anterior),−46,6,−2,952.0,3.96
IFG pars orbitalis L,−46,26,−4,1176.0,3.95
Inferior temporal gyrus R,48,−10,−38,1984.0,3.8
Middle temporal gyrus L,−50,−18,−10,1152.0,3.78
Superior anterior cingulate cortex L,−6,36,6,720.0,3.75
Rolandic operculum R,58,2,8,528.0,3.75
Anterior cingulate cortex (pregenual) R,14,44,10,440.0,3.7
Rolandic operculum L,−48,−10,12,2584.0,3.63
Inferior temporal gyrus L,−66,−32,−18,408.0,3.47
Middle temporal gyrus L,−46,−58,20,1512.0,3.46
Inferior temporal gyrus L,−64,−14,−26,1152.0,3.4
Inferior temporal gyrus L,−40,−14,−36,504.0,3.35
Lobule VI of cerebellar hemisphere R,26,−58,−22,920.0,3.28
SupraMarginal gyrus R,66,−34,26,520.0,3.27
Superior temporal gyrus R,62,−4,−10,344.0,3.15
"Lobule IV, V of vermis",6,−52,−14,920.0,3.13
Anterior cingulate cortex (supracallosal) L,−10,30,28,720.0,2.83
Superior temporal gyrus L,−56,−2,−8,2584.0,2.8
Postcentral gyrus L,−62,−22,22,2584.0,2.76
Middle temporal gyrus L,−64,−38,4,1152.0,2.66
Middle occipital gyrus L,−44,−78,16,1512.0,2.66
Inferior temporal gyrus L,−44,−26,−26,2464.0,2.23
Hippocampus L,−24,−16,−20,2464.0,1.89
tDCS group < control group,,,,,
Lobule IX of cerebellar hemisphere L,−16,−40,−46,488.0,5.138
Inferior temporal gyrus R,60,−52,−16,376.0,4.879
Superior occipital gyrus R,28,−80,18,408.0,3.857
Middle cingulate gyrus L,−6,−10,42,456.0,3.837
Calcarine L,4,−86,8,400.0,3.469
Middle frontal gyrus L,−26,28,44,712.0,3.396
Crus II of cerebellar hemisphere R,46,−70,−42,352.0,3.176
Superior frontal gyrus (dorsolateral) R,28,12,52,408.0,3.053
