Regions (AAL abbreviation),MNI coordinates,MNI coordinates,MNI coordinates,Clustersize (mm2),t−value
Regions (AAL abbreviation),x,y,z,Clustersize (mm2),t−value
tDCS group > control group,,,,,
Precuneus R,6,−58,46,1824.0,4.252
Superior frontal gyrus (dorsolateral) R,30,64,0,4320.0,3.665
Middle temporal gyrus R,72,−36,−6,3368.0,3.601
Middle temporal gyrus R,66,−10,−12,3368.0,2.272
Inferior parietal gyrus L,−34,−72,46,2744.0,3.6
Superior temporal gyrus L,−48,−6,−6,3328.0,3.59
Middle temporal gyrus L,−54,−32,0,3328.0,3.228
"Lobule IV, V of cerebellar hemisphere L",−6,−50,0,2344.0,2.684
Inferior parietal gyrus R,52,−54,50,7360.0,3.483
Angular gyrus R,36,−68,54,7360.0,3.347
Superior parietal gyrus R,30,−54,72,7360.0,2.665
Angular gyrus R,50,−72,38,7360.0,2.417
Postcentral gyrus R,34,−26,48,808.0,3.471
Precuneus R,10,−50,26,4664.0,3.465
Calcarine L,0,−66,12,4664.0,3.35
"Lobule IV, V of vermis",8,−46,2,4664.0,3.056
Posterior cingulate gyrus L,−10,−42,28,4664.0,2.382
Putamen R,26,−4,14,11904.0,3.362
Inferior temporal gyrus L,−44,−10,−36,624.0,3.338
Rectus L,−4,64,−16,1160.0,3.279
Lobule IX of cerebellar hemisphere L,−2,−52,−54,1544.0,3.263
Temporal pole (middle temporal gyrus) L,−54,14,−30,1128.0,3.258
Middle frontal gyrus R,42,26,50,1920.0,3.221
Rectus R,2,24,−16,952.0,3.186
Caudate L,−8,20,8,53160.0,3.146
Caudate L,−8,2,18,53160.0,2.64
SupraMarginal gyrus L,−60,−22,42,53160.0,1.929
tDCS group < control group,,,,,
Inferior frontal gyrus (triangular part) L,−50,16,8,1264.0,3.106
Middle temporal gyrus L,−66,−20,0,768.0,2.165
Crus II of cerebellar hemisphere L,−44,−58,−48,1008.0,2.886
Fusiform gyrus L,−34,−38,−18,688.0,2.689
Lingual gyrus L,−12,−90,−16,59704.0,1.913
Precentral gyrus R,56,2,36,4616.0,1.876
Inferior occipital gyrus L,−20,−100,−10,59704.0,5.587
Lobule VI of cerebellar hemisphere R,28,−52,−34,59704.0,4.676
Middle occipital gyrus L,−32,−80,20,59704.0,4.134
Superior occipital gyrusL,−20,−72,36,59704.0,3.946
Superior parietal gyrus L,−22,−62,56,53160.0,4.597
Anterior cingulate cortex (supracallosal) L,0,20,24,53160.0,4.463
Supplementary motor area L,0,12,44,53160.0,4.376
SupraMarginal gyrus L,−52,−30,30,53160.0,4.372
Supplementary motor area R,12,8,72,53160.0,4.109
Postcentral gyrus R,34,−36,50,3272.0,4.573
Postcentral gyrus R,32,−38,70,3272.0,3.299
Precentral gyrus R,52,8,38,4616.0,4.119
Middle frontal gyrus R,42,−4,52,4616.0,3.108
Postcentral gyrus R,68,−10,28,4616.0,3.067
Precentral gyrus R,62,8,20,4616.0,1.807
Middle occipital gyrus L,−40,−80,8,6944.0,4.024
Middle temporal gyrus L,−52,−58,6,6944.0,3.79
Crus I of cerebellar hemisphere L,−52,−56,−26,6944.0,3.274
Inferior occipital gyrus L,−40,−68,−10,6944.0,3.009
Postcentral gyrus R,52,−22,38,1096.0,3.999
Heschl's gyrus R,36,−32,14,1832.0,3.843
Red nucleus R,6,−16,−10,11904.0,3.731
Middle frontal gyrus L,−32,38,16,5408.0,3.63
Middle frontal gyrus L,−42,40,36,5408.0,2.759
Middle frontal gyrus L,−30,18,32,5408.0,2.316
Middle temporal gyrus R,50,−52,14,4176.0,3.374
Middle temporal gyrus R,50,−38,−2,4176.0,2.054
Middle frontal gyrus R,38,34,22,2864.0,3.37
Middle frontal gyrus R,34,42,42,2864.0,3.277
SupraMarginal gyrus R,70,−22,24,1424.0,3.235
SupraMarginal gyrus R,52,−34,28,1424.0,2.872
Anterior orbital gyrus L,−20,44,−16,1992.0,3.205
Temporal pole (superior temporal gyrus) R,38,4,−24,1336.0,3.201
Temporal pole (superior temporal gyrus) R,32,24,−28,1336.0,2.81
Precentral gyrus L,−48,−2,24,1152.0,3.195
Inferior frontal gyrus (triangular part) R,38,16,22,1400.0,2.981
Rolandic operculum R,48,−2,14,1400.0,2.608
Temporal pole (superior temporal gyrus) L,−52,18,−16,872.0,2.899
Temporal pole (superior temporal gyrus) L,−36,20,−28,872.0,1.758
Fusiform gyrus R,36,−26,−28,1024.0,2.833
Superior frontal gyrus (medial) L,−10,54,10,696.0,2.468
Crus I of cerebellar hemisphere R,56,−56,−32,3368.0,2.408
Inferior temporal gyrus R,70,−44,−16,3368.0,2.325
