Regions (AAL abbreviation),MNI coordinates,MNI coordinates,MNI coordinates,Clustersize (mm2),t−value
Regions (AAL abbreviation),x,y,z,Clustersize (mm2),t−value
tDCS group > control group,,,,,
Middle frontal gyrus L,−42,50,24,6008.0,4.1
Rectus L,−14,16,−16,11560.0,3.232
Medial orbital gyrus R,20,18,−18,11560.0,2.842
IFG pars orbitalis L,−28,32,−12,11560.0,2.781
Inferior temporal gyrus L,−40,−8,−34,1616.0,3.964
Middle frontal gyrus R,38,58,20,3896.0,3.648
Middle frontal gyrus R,42,42,34,3896.0,3.02
Middle frontal gyrus R,52,44,14,3896.0,2.743
Inferior frontal gyrus (triangular part) R,36,30,12,3896.0,2.711
Superior occipital gyrus R,24,−100,16,1544.0,3.609
Lobule VIII of cerebellar hemisphere R,18,−72,−44,800.0,3.524
Fusiform gyrus R,32,−46,−14,1112.0,3.364
Lobule VI of cerebellar hemisphere R,32,−34,−36,1112.0,2.125
Insula R,46,6,−6,608.0,3.357
Lobule VIIB of cerebellar hemisphere L,−10,−78,−46,1024.0,3.297
Temporal pole (superior temporal gyrus) L,−52,10,−6,1944.0,3.218
Insula L,−34,16,2,1944.0,2.26
Insula L,−42,−8,−6,1944.0,1.989
Middle occipital gyrus L,−28,−88,34,1016.0,2.967
Middle temporal gyrus L,−42,−56,−4,680.0,2.631
Temporal pole (superior temporal gyrus) R,54,20,−10,704.0,2.742
Postcentral gyrus R,52,−32,60,1104.0,2.732
Crus I of cerebellar hemisphere L,−48,−76,−32,688.0,2.484
tDCS group < control group,,,,,
Precentral gyrus R,14,−18,74,67424.0,1.777
Precuneus R,2,−58,20,67424.0,1.796
Angular gyus R,46,−62,32,67424.0,2.199
Superior frontal gyrus (dorsolateral) R,18,−12,74,67424.0,6.585
Middle temporal gyrus L,−46,−50,22,67424.0,5.201
Postcentral gyrus L,−28,−44,58,67424.0,4.879
Paracentral Lobule L,−4,−18,70,67424.0,4.753
Precuneus R,2,−48,42,67424.0,4.616
Middle temporal gyrus L,−64,−28,−14,4048.0,3.905
Middle temporal gyrus L,−64,−4,−16,4048.0,3.829
Superior frontal gyrus (medial) R,10,54,30,8576.0,4.276
Superior frontal gyrus (medial) R,16,50,2,8576.0,4.102
Supplementary motor area R,12,18,48,8576.0,3.039
Superior frontal gyrus (dorsolateral) R,16,36,38,8576.0,2.873
Rectus R,8,48,−18,8576.0,2.789
Insula L,−28,28,6,856.0,4.011
Inferior frontal gyrus (triangular part) L,−40,16,22,736.0,3.909
Superior frontal gyrus (medial) L,−14,50,14,5648.0,3.853
Superior frontal gyrus (dorsolateral) L,−16,28,42,5648.0,3.345
Superior frontal gyrus (medial) L,−10,48,40,5648.0,2.964
Superior frontal gyrus (dorsolateral) L,−12,66,26,5648.0,2.918
Superior frontal gyrus (dorsolateral) L,−30,58,4,5648.0,1.951
Middle occipital gyrus L,−36,−68,24,4664.0,3.83
Inferior occipital gyrus L,−40,−82,−4,4664.0,2.959
Inferior parietal gyrus L,−34,−72,46,4664.0,2.58
Lingual gyrus L,−6,−74,−8,2624.0,3.562
Lingual gyrus R,10,−86,−6,2624.0,3.186
Inferior occipital gyrus R,24,−102,−12,2624.0,2.156
Lobule III of cerebellar hemisphere R,14,−34,−14,1592.0,3.557
SupraMarginal gyrus R,44,−34,26,576.0,3.523
Middle frontal gyrus R,34,44,−12,856.0,3.474
Fusiform gyrus R,40,−24,−30,6288.0,3.423
Middle temporal gyrus R,58,−20,−16,6288.0,3.254
Middle temporal gyrus R,64,−2,−28,6288.0,3.236
Temporal pole (middle temporal gyrus) R,34,24,−36,6288.0,3.154
Temporal pole (middle temporal gyrus) R,52,14,−40,6288.0,2.665
Superior parietal gyrus R,20,−50,70,792.0,3.381
Precentral gyrus R,52,0,28,656.0,3.348
Middle frontal gyrus R,38,24,42,1176.0,3.267
Anterior cingulate cortex (subgenual) L,−6,28,−8,664.0,3.222
Rectus R,10,26,−22,1272.0,2.374
Lobule VIII of cerebellar hemisphere R,16,−64,−54,960.0,2.109
Inferior frontal gyrus (triangular part) L,−56,20,8,752.0,2.65
Precentral gyrus R,60,−8,48,576.0,2.545
