Cluster location,Peak (MNI),Peak (MNI),Peak (MNI),Number of voxels,T value
Cluster location,x,y,z,Number of voxels,T value
Seed: left primary motor thalamus,,,,,
,,,,,
Seed: right primary motor thalamus,,,,,
Right middle occipital gyrus,21,−99,24,99.0,3.2895
Right precentral gyrus,51,−3,54,165.0,3.9532
Right precentral gyrus,36,−21,63,35.0,3.0798
Seed: left sensory thalamus,,,,,
,,,,,
Seed: right sensory thalamus,,,,,
Right inferior temporal gyrus,54,−18,−27,29.0,3.464
Right precentral gyrus/right postcentral gyrus,51,−3,54,129.0,3.747
Right precentral gyrus,36,−21,63,27.0,3.0372
Seed: Left occipital thalamus,,,,,
Right precentral gyrus/right postcentral gyrus,33,−24,60,179.0,3.5828
Seed: right occipital thalamus,,,,,
Bilateral anterior cingulum,3,18,27,123.0,4.1951
Bilateral middle cingulum,6,−15,42,30.0,3.1134
Seed: left pre-frontal thalamus,,,,,
,,,,,
Seed: right pre-frontal thalamus,,,,,
,,,,,
Seed: left pre-motor thalamus,,,,,
,,,,,
Seed: right pre-motor thalamus,,,,,
Right middle occipital gyrus,51,−84,0,200.0,4.1579
Right precentral gyrus/right postcentral gyrus,51,−3,57,122.0,3.7314
Seed: left posterior parietal thalamus,,,,,
Right Precentral Gyrus,36,−21,63,48.0,3.2562
Seed: right posterior parietal thalamus,,,,,
Right inferior temporal gyrus,54,−18,−33,62.0,3.4951
Right precentral gyrus/right postcentral gyrus,36,−21,63,57.0,3.1615
Right paracentral lobule,18,−36,54,28.0,3.2906
Seed: left temporal thalamus,,,,,
Right precentral gyrus/right postcentral gyrus,36,−24,66,57.0,3.0031
Seed: Right Temporal thalamus,,,,,
Left superior temporal gyrus,−63,−12,6,59.0,2.9629
Right precentral gyrus/right postcentral gyrus,21,−33,54,138.0,3.1737
Right supplementary motor area,9,−15,51,36.0,3.4222
