Seed-pair,Control,Comorbid,MDD,PTSD,Difference,t statistic,p value
Right dlPFC - right inferior parietal,.44 (0.33),.55 (0.26),.32 (0.21),.31 (0.34),MDD < Comorbid,2.43,.017
,,,,,PTSD < Comorbid,2.6,.011
Right dlPFC - right middle frontal,.19 (0.3),.39 (0.36),.17 (0.25),.26 (0.27),CTRLS < Comorbid,-2.07,.041
Right inferior parietal - right middle temporal gyrus,.27 (0.34),.47 (0.33),.19 (0.21),.29 (0.38),MDD < Comorbid,2.64,.009
Right inferior parietal - left inferior parietal,.53 (0.22),.56 (0.22),.38 (0.25),.41 (0.28),MDD < CTRLS,2.3,.024
,,,,,PTSD < CTRLS,2.11,.038
,,,,,MDD < Comorbid,2.1,.039
"Right inferior parietal - left, right cingulate gyrus",.34 (0.29),.49 (0.25),.32 (0.13),.35 (0.29),MDD < Comorbid,2.21,.029
Right middle temporal gyrus - left inferior parietal,.23 (0.25),.39 (0.18),.16 (0.29),.27 (0.26),CTRLS < Comorbid,-2.09,.039
,,,,,MDD < Comorbid,2.71,.008
"Left inferior parietal - left, right cingulate gyrus",.27 (0.22),.41 (0.25),.15 (0.3),.27 (0.23),MDD < Comorbid,2.98,< 0.001
