IC,IC.1,t,pFWE
HbA1c × AnxDepr,,,
IC 1 Visual network(Second visual area and dorsal stream visual area),IC 8 Cerebellum,3.756,0.009
IC 1 Visual network(Second visual area and dorsal stream visual area),IC 11 Somatomotor/dorsal attention(Somatomotor hand),−3.868,0.007
IC 1 Visual network(Second visual area and dorsal stream visual area),IC 13 Somatomotor(Somatomotor mouth),−4.562,0
IC 4 Visual network(Early visual cortex and superior parietal cortex),IC 8 Cerebellum,3.399,0.035
IC 7 Frontoparietal(Inferior parietal cortex),IC 8 Cerebellum,−3.451,0.027
IC 11 Somatomotor/dorsal attention(Somatomotor hand),IC 8 Cerebellum,5.339,0
IC 13 Somatomotor(Somatomotor mouth),IC 8 Cerebellum,4.291,0
IC 11 Somatomotor/dorsal attention(Somatomotor hand),IC 13 Somatomotor(Somatomotor mouth),−4.472,0.001
BMI × AnxDepr,BMI × AnxDepr,BMI × AnxDepr,BMI × AnxDepr
IC 1 Visual network(Second visual area and dorsal stream visual area),IC 11 Somatomotor/dorsal attention(Predominantly somatomotor hand),−3.794,0.01
IC 1 Visual network(Second visual area and dorsal stream visual area),IC 13 Somatomotor(Predominantly somatomotor mouth),−3.809,0.009
IC 2 Default mode network,IC 8 Cerebellum,−3.497,0.025
IC 4 Visual network(Early visual cortex and superior parietal cortex),IC 8 Cerebellum,3.873,0.007
IC 2 Default mode network,IC 8 Cerebellum,−3.497,0.025
IC 13 Somatomotor(Somatomotor mouth),IC 8 Cerebellum,3.683,0.014
IC 11 Somatomotor/dorsal attention(Somatomotor hand),IC 13 Somatomotor(Somatomotor mouth),−3.351,0.037
BMI × Depr,BMI × Depr,BMI × Depr,BMI × Depr
IC 1 Visual network(Second visual area and dorsal stream visual area),IC 13 Somatomotor(Somatomotor mouth),−3.394,0.029
IC 4 Visual network(Early visual cortex and superior parietal cortex),IC 8 Cerebellum,3.406,0.033
IC 5 Frontoparietal(Frontal–parietal and dorsal attention),IC 7 Frontoparietal(Inferior parietal cortex),3.37,0.036
IC 5 Frontoparietal(Frontal–parietal and dorsal attention),IC 14 Default mode network/frontoparietal(Dorsolateral prefrontal cortex),3.565,0.018
IC 13 Somatomotor(Somatomotor mouth,IC 8 Cerebellum,4.05,0.004
IC 13 Somatomotor(Somatomotor mouth),IC 11 Somatomotor/dorsal attention(Somatomotor hand),−3.646,0.012
