Data,Knee OA patients,Healthy controls,p value
N,74,36,
Age (years),62.51 (10.85),65.03 (10.59),.25
Sex (male/female),35/39,21/15,.28
Laterality of affected knee (left/right),34/40,–,–
Median educational scores,6???,3???,.003
Pain duration (months),120.86 (123.21),–,–
NRS for knee pain 0–100 on the day,32.92 (27.09)???,–,–
ICOAP total (Rasch transformed),−.72 (2.68)???,–,–
ICOAP intermittent (Rasch transformed),.23 (1.99)???,–,–
ICOAP constant (Rasch transformed),−.78 (3.44)???,–,–
PainDETECT (Rasch transformed),−.7 (.78)d,–,–
SF‐12 physical,37.56 (9.91)???,51.89 (6.33),<.001
SF‐12 mental,49.6 (12.14)???,55.15 (6.33),.01
BDI‐II negative thoughts subscale (Rasch transformed),2.69 (2.88),1.83 (2.31),.12
BDI‐II negative behaviours subscale (Rasch transformed),9.05 (3.34),5.49 (3.5),<.001
STAI‐T (Rasch transformed),−1.22 (1.37),−1.76 (.97),.03
PCS,15.81 (12.39),8.11 (9.67),<.001
PCS: Helplessness,6.92 (5.72),2.92 (3.05),<.001
PCS: Magnification,2.97 (2.88),1.67 (1.57),.01
PCS: Rumination,5.92 (4.62),3.53 (3.78),.008
Affect factor score,.24 (1.08),−.49 (.56),<.001
