Brain region,MNI coordinate,MNI coordinate,MNI coordinate,voxel cluster,t value
Brain region,X,Y,Z,voxel cluster,t value
Posterior lobe of cerebellum,3,-66,-54,108,5.63
Anterior lobe of cerebellum,21,-48,-27,190,6.56
Right superior temporal gyrus,63,0,0,13,4.34
Left cingulate gyrus,-6,-39,18,10,4.72
Left precuneus,-6,-66,54,55,6.03
Left postcentral gyrus,0,-30,78,18,9.89
Superior/middle/inferior occipital gyrus,-24,-87,3,32,-4.88
Right dorsolateral superior frontal gyrus,24,60,27,12,-4.82
Paracentral lobule,3,-27,42,110,-5.83
Angular gyrus,45,-51,45,133,-5.47
Superior parietal gyrus,-36,-63,51,36,-5.13
