# Neg. voxels,"Peak (x, y, z) coordinates",Regions within the cluster,Region labels,Peak z-statistic
"9,016","(–29, –77, –41)",Cerebellum (L)???,,11.8
"1,670","(13, 31, 59)",BA8 (R),Lateral and medial supplementary motor area,5.64
"1,186","(35, –65, 41)",BA39 (R),Angular gyrus (Wernicke’s area),8.28
669,"(–47, 33, –5)",BA47 (L),Fusiform gyrus,5.05
486,"(–37, –37, 45)",BA40 (L),Supramarginal gyrus (Wernicke’s area),6.91
398,"(–3, –19, 75)",BA6 (L),Premotor and supplementary motor cortex,4.53
245,"(–15, 53, 29)",BA9 (L),Dorsolateral prefrontal cortex,4.1
234,"(59, –41, –5)",BA21 (R),Middle temporal gyrus,6.91
167,"(–63, –3, –7)",BA22 (L),Superior temporal gyrus (Wernicke’s area),3.76
111,"(–49, –59, 7)",BA39 (L),Angular gyrus (Wernicke’s area),4.49
90,"(49, 1, 13)",BA6 (R),Premotor and supplementary motor cortex,5
88,"(41, –37, –19)",Fusiform (R),,4.41
78,"(–13, –89, 33)",BA19 (L),Visual association,4.31
76,"(15, 7, –19)",BA11 (R),Orbitofrontal cortex,3.62
73,"(19, –71, 47)",BA7 (R),Somatosensory association cortex,3.93
69,"(–42, –6, 45)",BA6 (L),Premotor and supplementary motor cortex,4.91
66,"(21, –37, 61)",BA5 (R),Somatosensory association cortex,3.69
64,"(19, –9, 61)",BA6 (R),Premotor and supplementary motor cortex,5.51
63,"(–43, –34, –12)",BA20 (L),Inferior temporal gyrus,3.85
61,"(29, 23, 41)",BA8 (R),Frontal eye fields,4.49
60,"(15, –77, –5)",BA18 (R),Secondary visual cortex,3.71
58,"(–23, 13, –21)",BA47 (L),Inferior frontal gyrus (pars orbitalis),4.1
58,"(–49, 43, –15)",BA47 (L),Inferior frontal gyrus (pars orbitalis),3.53
55,"(29, –11, 69)",BA6 (R),Premotor and supplementary motor cortex,4.01
51,"(21, –95, –5)",BA18 (R),Secondary visual cortex,4.89
,,,,
# Pos. voxels,"Peak (x, y, z) coordinates",Regions within the cluster,,Peak z-statistic
,,,,
"1,238","(15, –87, 27)",BA19 (R),Visual association,5.61
451,"(–45, –49, –15)",Fusiform (L),,5.95
444,"(51, –47, 23)",BA39 (R),Angular gyrus (Wernicke’s area),5.67
247,"(–29, –69, 33)",BA39 (L),Angular gyrus (Wernicke’s area),5.54
243,"(–51, –31, –7)",BA21 (L),Middle temporal gyrus,5.12
195,"(23, 5, –41)",BA36 (R),Perirhinal cortex,4.47
101,"(–31, –49, –5)",BA19 (L),Visual association,4.75
87,"(–43, –71, 9)",BA19 (L),Visual association,4.96
83,"(45, –55, –3)",Fusiform (R),,3.88
67,"(15, –55, 57)",BA7 (R),Somatosensory association cortex,5.83
