# Pos. voxels,"Peak (x, y, z) coordinates",Regions within the cluster,Region labels,Peak z-statistic
"1,062","(–21, –45, 61)","BA7, BA39 (L)???",Angular gyrus (Wernicke’s area),5.9
357,"(9, –13, 17)",Thalamus,,3.83
317,"(1, –23, 71)",BA6,Premotor and supplementary motor cortex,4.22
288,"(35, 23, 37)","BA8 (R), BA6 (R)","Frontal eye fields, motor association cortex",4.21
184,"(35, –37, –15)",Fusiform (R),,3.35
180,"(–1, 49, 33)",BA9,Dorsolateral and medial prefrontal,5.17
158,"(–35, –57, 39)",BA39 (L),Angular gyrus (Wernicke’s area),5.22
141,"(57, –35, –15)",BA21 (R),Middle temporal gyrus,5.01
137,"(–51, –51, –3)",Fusiform (L),,6.18
132,"(27, –61, 43)",BA39 (R),Angular gyrus (Wernicke’s area),4.31
75,"(–65, –17, 25)",Primary sensory (L),,3.79
74,"(25, –41, 63)",BA5 (R),Somatosensory association cortex,3.51
72,"(–37, 41, 19)","BA10 (L), BA46 (L)",Anterior and dorsolateral prefrontal cortex,4.77
66,"(–59, 3, 17)",BA44 (L),Broca’s area pars opercularis,3.84
63,"(–3, 27, –7)",BA32 (L),Dorsal anterior cingulate cortex,3.23
60,"(–51, 1, 41)",BA6 (L),Premotor and supplementary motor cortex,3.09
56,"(3, 1, 33)",BA24 (R),Ventral anterior cingulate cortex,3.2
54,"(–43, –45, 41)",BA40 (L),Supramarginal gyrus (Wernicke’s area),4.61
,,,,
# Neg. voxels,"Peak (x, y, z) coordinates",Regions within the cluster,,Peak z-statistic
,,,,
308,"(–25, –59, 7)","BA23 (L), BA18 (L), BA30 (L)","Ventral posterior cingulate cortex, secondary visual cortex",5.73
290,"(–47, –51, 17)",BA39 (L),Angular gyrus (Wernicke’s area),5.61
255,"(–39, –77, 27)","BA19 (L), BA39 (L)","Visual association, angular gyrus (Wernicke’s area)",4.17
215,"(35, 47, 5)",BA10 (R),Anterior prefrontal cortex,4.2
119,"(19, –59, 7)","BA23 (R), BA18 (R)","Ventral posterior cingulate cortex, secondary visual cortex",4.01
80,"(47, –35, 21)","BA22 (R), BA40 (R)",Superior temporal and supramarginal gyrus (Wernicke’s area),3.89
62,"(1, 33, 41)","BA8 (R), BA8 (L)",Frontal eye fields,3.63
61,"(–23, 7, 1)",Putamen (L),,3.33
59,"(–21, –93, 21)",BA18 (L),Secondary visual cortex,3.98
55,"(–45, 21, 7)",BA45 (L),Broca’s area (pars triangularis),3.75
54,"(–49, –37, –19)",BA20 (L),Inferior temporal gyrus,4.06
