Variables,Subjects (n = 12)
Age [y],64.5 ± 6.7
Weight [kg],82.5 ± 10.2
Height [cm],164.3 ± 6.3
Body mass index [kg/m2],30.6 ± 4.1
Regular physical activities [n (%)],9 (75)
"Low (walking, gardening)",4 (44.4)
"Medium (bicycling, swimming)",5 (55.6)
"High (aerobic, running)",0 (0)
Medical history questions [n (%)],Medical history questions [n (%)]
General health rated “good”,12 (100)
Total knee replacement,2 (16.7)
History of rheumatoid arthritis or gout,1 (8.3)
"Heart value/cardiac bypass surgery, stent procedure, or pacemaker",2 (16.7)
History stroke or heart attack,1 (8.3)
Low back pain and/or leg pain,2 (16.7)
Hormone or hormone-like therapy use,2 (16.7)
Blood pressure drug use,3 (25)
Thyroid hormone drug use,2 (16.7)
Pain medication use,4 (33.4)
Calcium/vitamin D use,6 (50)
History of cigarettes (current or ever-smoked),3 (25.0)
Alcohol consumption,7 (58.3)
