Groups,Controls,All TLE,Generalized-CI,Focal-CI,No-CI,p (ANOVA/χ2)
N,83,111,20,34,57,–
Age (years) [Mean ± SD],33.8 ± 10.6,39.6 ± 11.5,38.2 ± 13.5,36.6 ± 11.1,41.9 ± 10.4,0.17
Gender (Male/Female),36/47,43/68,8/12,15/19,20/37,0.91
Education (years) [Mean ± SD],15.8 ± 2.7,14.7 ± 2.7,12.3 ± 2.0,13.6 ± 1.7,16.2 ± 2.4,<0.001
Mother Education (year) [Mean ± SD],14.6 ± 2.7,13.5 ± 2.7,12.6 ± 2.7,13.8 ± 2.3,13.6 ± 2.9,<0.05
Father Education (years) [Mean ± SD],14.8 ± 2.8,13.8 ± 2.9,11.9 ± 2.1,13.2 ± 2.0,14.7 ± 3.1,<0.001
Race (Caucasian/Non-Caucasian),74/9,91/20,10/10,26/8,55/2,<0.05
Duration of Seizures (years) [Mean ± SD],–,16.8 ± 13.9,21.3 ± 16.7,13.2 ± 12.9,17.4 ± 13.2,0.17
Recurring Seizure Onset Age (years) [Mean ± SD],–,22.8 ± 13.6,16.8 ± 11.9,23.4 ± 11.5,24.5 ± 14.6,0.17
Drug Onset Age (years) [Mean ± SD],–,25.7 ± 13.6,18.3 ± 11.1,24.4 ± 11.2,29.0 ± 14.5,<0.05
Number of Anti-epileptic Drugs [Mean ± SD],–,1.8 ± 0.9,2.4 ± 0.7,1.8 ± 1.0,1.7 ± 0.9,0.07
Seizure Laterality (Left/Right/Bilateral/Uncertain),–,57/25/9/20,9/6/2/3,17/9/2/6,31/10/5/11,0.91
Seizure Controlled for >1 year (Yes/No),–,61/50,8/12,20/14,33/24,0.66
Hippocampal Atrophy (HA) [unilateral/bilateral]†,2.5%,23%,33% [7%/26%],23% [13%/10%],20% [11%/10%],<0.05
Generalized Seizure History (Yes/No),–,55/56,16/4,15/19,24/33,<0.05
Number of Lifetime Generalized Seizures (0–5/6–50/51+)‡,–,61/40/9,3/11/5,19/12/3,39/17/1,<0.001
