Seed index,x,y,z,Peak F-value,Area
1,−6,−78,56,3.036,Left Precuneus
2,6,−42,24,2.825,Right Posterior Cingulate Cortex (PCC)
3,−2,14,56,2.664,Left Supplementary Motor Area (SMA)
4,6,50,8,2.53,Right Medial Prefrontal Cortex (MPFC)
5,50,38,12,2.714,Right Inferior Frontal Gyrus (IFG)
6,18,18,4,2.067,Right Caudate
7,−46,6,44,2.811,Left Middle Frontal Gyrus
8,−10,38,56,3.12,Left Superior Frontal Gyrus
9,42,6,36,3.082,Right Inferior Frontal Gyrus (IFG)
10,−18,18,4,2.143,Left Caudate
11,−34,−66,−24,2.322,Left cerebellum (Crus I)
12,6,34,32,2.249,Right Cingulate Gyrus
13,62,−42,−8,2.445,Right Middle Temporal Gyrus
14,−50,34,−8,2.488,Left Inferior Frontal Gyrus
15,22,26,60,2.098,Right Superior Frontal Gyrus
16,2,26,56,2.056,Right Superior Frontal Gyrus
17,−50,42,16,2.203,Left Inferior Frontal Gyrus
18,−58,6,40,1.968,Left Middle Frontal Gyrus
