Indices,Region,Brodmann’s Area,MNI Coordinates,T Value,Cluster(Voxels)
ANOVA,,,,,
Short-range,Amygdala_R,BA34,"(18,0,−17)",5.9018,3.0
Long-range,Caudate_R,-,"(18,−5,20)",11.3438,66.0
,Caudate_L,-,"(−16,−12,23)",6.4713,43.0
,Amygdala_R,BA34,"(19,1,−17)",13.2933,32.0
,Pallidum_R,BA48,"(19,0,−5)",7.8705,14.0
,Putamen_R,BA48,"(33,−9,0)",6.1615,7.0
MCI vs. NC,,,,,
Long-range,Amygdala_R,BA34,"(21,−2,−17)",4.4157,38.0
,Amygdala_L,-,"(−13,2,−15)",3.3582,6.0
,Putamen_L,BA25,"(−14,7,−9)",3.2804,7.0
,Pallidum_R,BA25,"(12,3,−5)",3.1270,5.0
AD vs. NC,,,,,
Short-range,Caudate_L,-,"(−7,1,11)",−2.9712,29.0
,Caudate_R,-,"(9,5,7)",−2.8622,8.0
AD vs. MCI,,,,,
Short-range,Caudate_L,-,"(−18,−21,23)",−3.2570,9.0
,Caudate_R,-,"(16,−18,21)",−2.8545,4.0
Long-range,Caudate_L,-,"(−15,14,18)",−3.7649,66.0
,Caudate_R,-,"(17,6,23)",−3.7601,54.0
,Amygdala_R,BA48,"(19,2,−11)",−3.6551,20.0
,Pallidum_R,BA48,"(19,−3,−2)",−3.4747,9.0
