Conditions,Regions,p Value,AUC Value,Sensitivity,Specificity
NC–MCI,,,,,
Short-range FCD,Caudate_R,0.012,0.762,81.3%,75.0%
,Amygdala_R,0.005,0.793,81.3%,75.0%
,Putamen_R,0.01,0.766,87.5%,62.5%
,Pallidum_R,0.029,0.727,43.8%,100.0%
Long-range FCD,Amygdala_R,0.0,0.867,87.5%,75.0%
,Amygdala_L,0.001,0.844,75.0%,87.5%
,Putamen_L,0.005,0.793,68.8%,75.0%
,Pallidum_L,0.006,0.785,81.3%,75.0%
Global Efficiency,Amygdala_R,0.019,0.742,68.8%,87.5%
,Amygdala_L,0.027,0.729,62.5%,81.2%
Degree,Amygdala_L,0.05,0.703,50.0%,87.5%
MCI–AD,,,,,
Short-range FCD,Caudate_L,0.004,0.797,75.0%,75.0%
Long-range FCD,Caudate_L,0.001,0.84,75.0%,75.0%
,Caudate_R,0.001,0.848,68.8%,93.7%
,Amygdala_R,0.0,0.879,87.5%,87.5%
,Pallidum_R,0.006,0.785,50.0%,100.0%
Global Efficiency,Caudate_L,0.002,0.828,87.5%,62.5%
,Caudate_R,0.004,0.795,81.3%,68.7%
,Amygdala_R,0.018,0.746,81.3%,68.7%
,Amygdala_L,0.006,0.783,87.5%,62.5%
,Putamen_R,0.016,0.75,68.8%,75.0%
Local Efficiency,Caudate_L,0.023,0.736,68.8%,75.0%
Degree,Caudate_L,0.003,0.805,75.0%,75.0%
,Caudate_R,0.009,0.771,62.5%,87.5%
,Amygdala_L,0.017,0.748,81.3%,68.7%
,Putamen_R,0.02,0.74,81.3%,56.2%
NC–AD,,,,,
Long-range FCD,Caudate_L,0.009,0.77,93.8%,62.5%
Global Efficiency,Caudate_L,0.014,0.754,68.8%,75.0%
,Caudate_R,0.02,0.74,68.8%,75.0%
,Pallidum_R,0.007,0.781,62.5%,93.7%
,Putamen_R,0.017,0.748,68.8%,81.2%
Local Efficiency,Caudate_R,0.026,0.73,75.0%,62.5%
Degree,Caudate_L,0.044,0.709,75.0%,68.7%
,Caudate_R,0.013,0.758,81.3%,62.5%
,Pallidum_R,0.012,0.762,93.8%,50.0%
,Putamen_R,0.013,0.758,68.8%,75.0%
