Test,Z-ScoreMedian ± MAD,Range[Min Max]
OCS denomination,0.67 ± 1.22,[− 4.33 0.67]
OCS sentence reading,0.33 ± 1.67,[− 8 0.33]
OCS number writing,0 ± 1.07,[− 5 0]
OCS calculation,0.4 ± 0.93,[− 3.6 0.4]
OCS hearths overall accuracy,− 0.03 ± 0.63,[− 2.78 0.73]
OCS egocentric neglect,− 0.07 ± 0.81,[− 3.4 1.93]
OCS imitating gesture right,0.5 ± 0.64,[− 3.67 0.5]
OCS imitating gesture left,0.5 ± 1.27,[− 9.5 0.5]
OCS verbal memory,0.75 ± 1.17,[− 4.25 0.75]
OCS episodic memory,0.25 ± 0.92,[− 2.25 0.25]
Memint 10S,− 0.55 ± 1.07,[− 2.78 1.58]
Memint 30S,− 1.43 ± 1.30,[− 5.76 0.79]
Prose memory-immediate recall,− 0.91 ± 0.86,[− 2.39 2.19]
Prose memory-delayed recall,− 1.1 ± 1.13,[− 4.63 1.37]
Trail making test—A,0.43 ± 0.92,[− 4.67 1.15]
Trail making test—B,− 0.5 ± 1.76,[− 7.46 1.30]
Phonemic fluency,− 1.23 ± 0.89,[− 3.45 2.39]
Corsi forward,− 0.17 ± 1.02,[− 2.21 1.87]
Corsi backward,− 0.69 ± 1.21,[− 4.91 1.87]
Digit span-forward,− 0.97 ± 0.92,[− 6.27 2.5]
Digit span-backward,− 0.53 ± 1.26,[− 5.37 0.93]
Boston naming test-RS,− 0.8 ± 1.46,[− 8.30 0.8]
Nine-hole peg right hand,− 1.15 ± 1.69,[− 7.69 1.39]
Nine-hole peg left hand,− 1.48 ± 1.43,[− 7.29 1.53]
