Cluster,voxels,"MNI (x, y, z)",Including regions,F
1.0,566.0,"30, −69, −42",Cerebellum posterior lobe,7.405
2.0,733.0,"−36, −66, −3",Thalamus,9.461
,,,Parahippocampus gyrus,
,,,Occipital lobe,
3.0,188.0,"33, −51, 3",Parahippocampus gyrus,7.794
,,,Fusiform gyrus,
4.0,1542.0,"36, −36, 51",Precuneus,7.59
,,,Superior temporal gyrus,
,,,Middle temporal gyrus,
5.0,173.0,"0, −36, 48",Middle cingulum,7.878
,,,Precuneus,
