Target,Unnamed: 1,Omega-3 Fatty Acid,α-Linolenic Acid,Eicosapentaenoic Acid,Docosapentaenoic Acid,Docosahexaenoic Acid
Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network
Right inferior parietal,r,−0.16,−0.06,−0.23,−0.22,−0.22
Right inferior parietal,p,0.165,0.641,0.053,0.064,0.055
Right olfactory,r,−0.19,−0.13,−0.19,−0.16,−0.19
Right olfactory,p,0.112,0.262,0.104,0.173,0.107
Right middle frontal,r,−0.32,−0.19,−0.35,−0.35,−0.35
Right middle frontal,p,0.005,0.099,0.002,0.002,0.002
Left temporal superior pole,r,−0.13,−0.13,−0.10,−0.10,−0.08
Left temporal superior pole,p,0.280,0.283,0.400,0.412,0.500
Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network
Right inferior temporal,r,−0.22,−0.10,−0.26,−0.30,−0.28
Right inferior temporal,p,0.060,0.386,0.026,0.009,0.017
Left inferior orbital frontal,r,−0.04,−0.04,−0.03,−0.05,−0.02
Left inferior orbital frontal,p,0.741,0.751,0.806,0.691,0.856
Left middle cingulum,r,−0.28,−0.31,−0.15,−0.19,−0.15
Left middle cingulum,p,0.016,0.006,0.198,0.107,0.189
Right precuneus,r,−0.20,−0.12,−0.21,−0.22,−0.21
Right precuneus,p,0.094,0.291,0.077,0.059,0.075
Left middle occipital,r,−0.18,−0.16,−0.16,−0.12,−0.15
Left middle occipital,p,0.118,0.173,0.168,0.305,0.198
Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network
Right middle temporal pole,r,−0.27,−0.10,−0.36,−0.38,−0.36
Right middle temporal pole,p,0.019,0.389,0.002,0.001,0.001
Right middle occipital,r,−0.20,−0.14,−0.19,−0.19,−0.19
Right middle occipital,p,0.092,0.226,0.102,0.100,0.103
Left cerebellar cortical crus II,r,−0.20,−0.18,−0.16,−0.12,−0.16
Left cerebellar cortical crus II,p,0.094,0.125,0.184,0.327,0.176
